component_name,field_number,field_name,field_type,required,component_path
AffectedOrdGrp,534,NoAffectedOrders,GROUP,N,AffectedOrdGrp
AffectedOrdGrp,41,OrigClOrdID,STRING,N,AffectedOrdGrp/NoAffectedOrders
AffectedOrdGrp,535,AffectedOrderID,STRING,N,AffectedOrdGrp/NoAffectedOrders
AffectedOrdGrp,536,AffectedSecondaryOrderID,STRING,N,AffectedOrdGrp/NoAffectedOrders
AllocAckGrp,78,NoAllocs,GROUP,N,AllocAckGrp
AllocAckGrp,79,AllocAccount,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,661,AllocAcctIDSource,INT,N,AllocAckGrp/NoAllocs
AllocAckGrp,366,AllocPrice,PRICE,N,AllocAckGrp/NoAllocs
AllocAckGrp,467,IndividualAllocID,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,776,IndividualAllocRejCode,INT,N,AllocAckGrp/NoAllocs
AllocAckGrp,161,AllocText,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,360,EncodedAllocTextLen,LENGTH,N,AllocAckGrp/NoAllocs
AllocAckGrp,361,EncodedAllocText,DATA,N,AllocAckGrp/NoAllocs
AllocGrp,78,NoAllocs,GROUP,N,AllocGrp
AllocGrp,79,AllocAccount,STRING,N,AllocGrp/NoAllocs
AllocGrp,661,AllocAcctIDSource,INT,N,AllocGrp/NoAllocs
AllocGrp,573,MatchStatus,CHAR,N,AllocGrp/NoAllocs
AllocGrp,366,AllocPrice,PRICE,N,AllocGrp/NoAllocs
AllocGrp,80,AllocQty,QTY,N,AllocGrp/NoAllocs
AllocGrp,467,IndividualAllocID,STRING,N,AllocGrp/NoAllocs
AllocGrp,81,ProcessCode,CHAR,N,AllocGrp/NoAllocs
AllocGrp,208,NotifyBrokerOfCredit,BOOLEAN,N,AllocGrp/NoAllocs
AllocGrp,209,AllocHandlInst,INT,N,AllocGrp/NoAllocs
AllocGrp,161,AllocText,STRING,N,AllocGrp/NoAllocs
AllocGrp,360,EncodedAllocTextLen,LENGTH,N,AllocGrp/NoAllocs
AllocGrp,361,EncodedAllocText,DATA,N,AllocGrp/NoAllocs
AllocGrp,153,AllocAvgPx,PRICE,N,AllocGrp/NoAllocs
AllocGrp,154,AllocNetMoney,AMT,N,AllocGrp/NoAllocs
AllocGrp,119,SettlCurrAmt,AMT,N,AllocGrp/NoAllocs
AllocGrp,737,AllocSettlCurrAmt,AMT,N,AllocGrp/NoAllocs
AllocGrp,120,SettlCurrency,CURRENCY,N,AllocGrp/NoAllocs
AllocGrp,736,AllocSettlCurrency,CURRENCY,N,AllocGrp/NoAllocs
AllocGrp,155,SettlCurrFxRate,FLOAT,N,AllocGrp/NoAllocs
AllocGrp,156,SettlCurrFxRateCalc,CHAR,N,AllocGrp/NoAllocs
AllocGrp,742,AllocAccruedInterestAmt,AMT,N,AllocGrp/NoAllocs
