field_number,field_name,enum,description
581,AccountType,1,CARRIED_CUSTOMER_SIDE
581,AccountType,2,CARRIED_NON_CUSTOMER_SIDE
581,AccountType,3,HOUSE_TRADER
581,AccountType,4,FLOOR_TRADER
581,AccountType,6,CARRIED_NON_CUSTOMER_SIDE_CROSS_MARGINED
581,AccountType,7,HOUSE_TRADER_CROSS_MARGINED
581,AccountType,8,JOINT_BACK_OFFICE_ACCOUNT
660,AcctIDSource,1,BIC
660,AcctIDSource,2,SID_CODE
660,AcctIDSource,3,TFM
660,AcctIDSource,4,OMGEO
660,AcctIDSource,5,DTCC_CODE
660,AcctIDSource,99,OTHER
334,Adjustment,1,CANCEL
334,Adjustment,2,ERROR
334,Adjustment,3,CORRECTION
718,AdjustmentType,0,PROCESS_REQUEST_AS_MARGIN_DISPOSITION
718,AdjustmentType,1,DELTA_PLUS
718,AdjustmentType,2,DELTA_MINUS
718,AdjustmentType,3,FINAL
4,AdvSide,B,BUY
4,AdvSide,S,SELL
4,AdvSide,X,CROSS
4,AdvSide,T,TRADE
5,AdvTransType,N,NEW
5,AdvTransType,C,CANCEL
5,AdvTransType,R,REPLACE
940,AffirmStatus,1,RECEIVED
940,AffirmStatus,2,CONFIRM_REJECTED
940,AffirmStatus,3,AFFIRMED
266,AggregatedBook,Y,YES
266,AggregatedBook,N,NO
798,AllocAccountType,1,CARRIED_CUSTOMER_SIDE
798,AllocAccountType,2,CARRIED_NON_CUSTOMER_SIDE
798,AllocAccountType,3,HOUSE_TRADER
798,AllocAccountType,4,FLOOR_TRADER
798,AllocAccountType,6,CARRIED_NON_CUSTOMER_SIDE_CROSS_MARGINED
798,AllocAccountType,7,HOUSE_TRADER_CROSS_MARGINED
798,AllocAccountType,8,JOINT_BACK_OFFICE_ACCOUNT
796,AllocCancReplaceReason,1,ORIGINAL_DETAILS_INCOMPLETE
796,AllocCancReplaceReason,2,CHANGE_IN_UNDERLYING_ORDER_DETAILS
796,AllocCancReplaceReason,99,OTHER
209,AllocHandlInst,1,MATCH
209,AllocHandlInst,2,FORWARD
209,AllocHandlInst,3,FORWARD_AND_MATCH
808,AllocIntermedReqType,1,PENDING_ACCEPT
808,AllocIntermedReqType,2,PENDING_RELEASE
808,AllocIntermedReqType,3,PENDING_REVERSAL
808,AllocIntermedReqType,4,ACCEPT
808,AllocIntermedReqType,5,BLOCK_LEVEL_REJECT
808,AllocIntermedReqType,6,ACCOUNT_LEVEL_REJECT
197,AllocLinkType,0,FX_NETTING
197,AllocLinkType,1,FX_SWAP
857,AllocNoOrdersType,0,NOT_SPECIFIED
857,AllocNoOrdersType,1,EXPLICIT_LIST_PROVIDED
88,AllocRejCode,0,UNKNOWN_ACCOUNT
88,AllocRejCode,1,INCORRECT_QUANTITY
88,AllocRejCode,2,INCORRECT_AVERAGEG_PRICE
88,AllocRejCode,3,UNKNOWN_EXECUTING_BROKER_MNEMONIC
88,AllocRejCode,4,COMMISSION_DIFFERENCE
88,AllocRejCode,5,UNKNOWN_ORDER_ID
88,AllocRejCode,6,UNKNOWN_LIST_ID
88,AllocRejCode,7,OTHER_SEE_TEXT
88,AllocRejCode,8,INCORRECT_ALLOCATED_QUANTITY
88,AllocRejCode,9,CALCULATION_DIFFERENCE
88,AllocRejCode,10,UNKNOWN_OR_STALE_EXEC_ID
88,AllocRejCode,11,MISMATCHED_DATA
88,AllocRejCode,12,UNKNOWN_CL_ORD_ID
88,AllocRejCode,13,WAREHOUSE_REQUEST_REJECTED
794,AllocReportType,3,SELLSIDE_CALCULATED_USING_PRELIMINARY
794,AllocReportType,4,SELLSIDE_CALCULATED_WITHOUT_PRELIMINARY
794,AllocReportType,5,WAREHOUSE_RECAP
794,AllocReportType,8,REQUEST_TO_INTERMEDIARY
780,AllocSettlInstType,0,USE_DEFAULT_INSTRUCTIONS
780,AllocSettlInstType,1,DERIVE_FROM_PARAMETERS_PROVIDED
780,AllocSettlInstType,2,FULL_DETAILS_PROVIDED
780,AllocSettlInstType,3,SSIDBI_DS_PROVIDED
780,AllocSettlInstType,4,PHONE_FOR_INSTRUCTIONS
87,AllocStatus,0,ACCEPTED
87,AllocStatus,1,BLOCK_LEVEL_REJECT
87,AllocStatus,2,ACCOUNT_LEVEL_REJECT
87,AllocStatus,3,RECEIVED
87,AllocStatus,4,INCOMPLETE
87,AllocStatus,5,REJECTED_BY_INTERMEDIARY
71,AllocTransType,0,NEW
71,AllocTransType,1,REPLACE
71,AllocTransType,2,CANCEL
626,AllocType,1,CALCULATED
626,AllocType,2,PRELIMINARY
626,AllocType,5,READY_TO_BOOK
626,AllocType,7,WAREHOUSE_INSTRUCTION
626,AllocType,8,REQUEST_TO_INTERMEDIARY
815,ApplQueueAction,0,NO_ACTION_TAKEN
815,ApplQueueAction,1,QUEUE_FLUSHED
815,ApplQueueAction,2,OVERLAY_LAST
815,ApplQueueAction,3,END_SESSION
814,ApplQueueResolution,0,NO_ACTION_TAKEN
814,ApplQueueResolution,1,QUEUE_FLUSHED
814,ApplQueueResolution,2,OVERLAY_LAST
814,ApplQueueResolution,3,END_SESSION
744,AssignmentMethod,R,RANDOM
744,AssignmentMethod,P,PRO_RATA
819,AvgPxIndicator,0,NO_AVERAGE_PRICING
819,AvgPxIndicator,1,TRADE
819,AvgPxIndicator,2,LAST_TRADE
419,BasisPxType,2,CLOSING_PRICE_AT_MORNING_SESSION
419,BasisPxType,3,CLOSING_PRICE
419,BasisPxType,4,CURRENT_PRICE
419,BasisPxType,5,SQ
419,BasisPxType,6,VWAP_THROUGH_A_DAY
419,BasisPxType,7,VWAP_THROUGH_A_MORNING_SESSION
419,BasisPxType,8,VWAP_THROUGH_AN_AFTERNOON_SESSION
419,BasisPxType,9,VWAP_THROUGH_A_DAY_EXCEPT
419,BasisPxType,A,VWAP_THROUGH_A_MORNING_SESSION_EXCEPT
419,BasisPxType,B,VWAP_THROUGH_AN_AFTERNOON_SESSION_EXCEPT
419,BasisPxType,C,STRIKE
419,BasisPxType,D,OPEN
419,BasisPxType,Z,OTHERS
399,BidDescriptorType,1,SECTOR
399,BidDescriptorType,2,COUNTRY
399,BidDescriptorType,3,INDEX
374,BidRequestTransType,N,NEW
374,BidRequestTransType,C,CANCEL
418,BidTradeType,R,RISK_TRADE
418,BidTradeType,G,VWAP_GUARANTEE
418,BidTradeType,A,AGENCY
418,BidTradeType,J,GUARANTEED_CLOSE
394,BidType,1,NON_DISCLOSED
394,BidType,2,DISCLOSED
394,BidType,3,NO_BIDDING_PROCESS
775,BookingType,0,REGULAR_BOOKING
775,BookingType,1,CFD
775,BookingType,2,TOTAL_RETURN_SWAP
590,BookingUnit,0,EACH_PARTIAL_EXECUTION_IS_A_BOOKABLE_UNIT
590,BookingUnit,1,AGGREGATE_PARTIAL_EXECUTIONS_ON_THIS_ORDER
590,BookingUnit,2,AGGREGATE_EXECUTIONS_FOR_THIS_SYMBOL
380,BusinessRejectReason,0,OTHER
380,BusinessRejectReason,1,UNKNOWN_ID
380,BusinessRejectReason,2,UNKNOWN_SECURITY
380,BusinessRejectReason,3,UNSUPPORTED_MESSAGE_TYPE
380,BusinessRejectReason,4,APPLICATION_NOT_AVAILABLE
380,BusinessRejectReason,5,CONDITIONALLY_REQUIRED_FIELD_MISSING
380,BusinessRejectReason,6,NOT_AUTHORIZED
380,BusinessRejectReason,7,DELIVER_TO_FIRM_NOT_AVAILABLE_AT_THIS_TIME
875,CPProgram,1,PROGRAM3A3
875,CPProgram,2,PROGRAM42
875,CPProgram,99,OTHER
480,CancellationRights,Y,YES
480,CancellationRights,N,NO_EXECUTION_ONLY
480,CancellationRights,M,NO_WAIVER_AGREEMENT
480,CancellationRights,O,NO_INSTITUTIONAL
544,CashMargin,1,CASH
544,CashMargin,2,MARGIN_OPEN
544,CashMargin,3,MARGIN_CLOSE
635,ClearingFeeIndicator,B,CBOE_MEMBER
635,ClearingFeeIndicator,C,NON_MEMBER_AND_CUSTOMER
635,ClearingFeeIndicator,E,EQUITY_MEMBER_AND_CLEARING_MEMBER
635,ClearingFeeIndicator,F,FULL_AND_ASSOCIATE_MEMBER
635,ClearingFeeIndicator,H,FIRMS106_H_AND106_J
635,ClearingFeeIndicator,I,GIM
635,ClearingFeeIndicator,L,LESSEE106_F_EMPLOYEES
635,ClearingFeeIndicator,M,ALL_OTHER_OWNERSHIP_TYPES
635,ClearingFeeIndicator,1,FIRST_YEAR_DELEGATE
635,ClearingFeeIndicator,2,SECOND_YEAR_DELEGATE
635,ClearingFeeIndicator,3,THIRD_YEAR_DELEGATE
635,ClearingFeeIndicator,4,FOURTH_YEAR_DELEGATE
635,ClearingFeeIndicator,5,FIFTH_YEAR_DELEGATE
635,ClearingFeeIndicator,9,SIXTH_YEAR_DELEGATE
577,ClearingInstruction,0,PROCESS_NORMALLY
577,ClearingInstruction,1,EXCLUDE_FROM_ALL_NETTING
577,ClearingInstruction,2,BILATERAL_NETTING_ONLY
