number,name,type,description
1,Account,STRING,
2,AdvId,STRING,
3,AdvRefID,STRING,
4,AdvSide,CHAR,
5,AdvTransType,STRING,
6,AvgPx,PRICE,
7,BeginSeqNo,SEQNUM,
8,BeginString,STRING,
9,BodyLength,LENGTH,
10,CheckSum,STRING,
11,ClOrdID,STRING,
12,Commission,AMT,
13,CommType,CHAR,
14,CumQty,QTY,
15,Currency,CURRENCY,
16,EndSeqNo,SEQNUM,
17,ExecID,STRING,
18,ExecInst,MULTIPLEVALUESTRING,
19,ExecRefID,STRING,
21,HandlInst,CHAR,
22,SecurityIDSource,STRING,
23,IOIID,STRING,
25,IOIQltyInd,CHAR,
26,IOIRefID,STRING,
27,IOIQty,STRING,
28,IOITransType,CHAR,
29,LastCapacity,CHAR,
30,LastMkt,EXCHANGE,
31,LastPx,PRICE,
32,LastQty,QTY,
33,NoLinesOfText,NUMINGROUP,
34,MsgSeqNum,SEQNUM,
35,MsgType,STRING,
36,NewSeqNo,SEQNUM,
37,OrderID,STRING,
38,OrderQty,QTY,
39,OrdStatus,CHAR,
40,OrdType,CHAR,
41,OrigClOrdID,STRING,
42,OrigTime,UTCTIMESTAMP,
43,PossDupFlag,BOOLEAN,
44,Price,PRICE,
45,RefSeqNum,SEQNUM,
48,SecurityID,STRING,
49,SenderCompID,STRING,
50,SenderSubID,STRING,
52,SendingTime,UTCTIMESTAMP,
53,Quantity,QTY,
54,Side,CHAR,
55,Symbol,STRING,
56,TargetCompID,STRING,
57,TargetSubID,STRING,
58,Text,STRING,
59,TimeInForce,CHAR,
60,TransactTime,UTCTIMESTAMP,
61,Urgency,CHAR,
62,ValidUntilTime,UTCTIMESTAMP,
63,SettlType,CHAR,
64,SettlDate,LOCALMKTDATE,
65,SymbolSfx,STRING,
66,ListID,STRING,
67,ListSeqNo,INT,
68,TotNoOrders,INT,
69,ListExecInst,STRING,
70,AllocID,STRING,
71,AllocTransType,CHAR,
72,RefAllocID,STRING,
73,NoOrders,NUMINGROUP,
74,AvgPxPrecision,INT,
75,TradeDate,LOCALMKTDATE,
77,PositionEffect,CHAR,
78,NoAllocs,NUMINGROUP,
