message_name,msgtype,msgcat,field_number,field_name,field_type,required,position
Advertisement,7,app,8,BeginString,STRING,Y,1
Advertisement,7,app,9,BodyLength,LENGTH,Y,2
Advertisement,7,app,35,MsgType,STRING,Y,3
Advertisement,7,app,49,SenderCompID,STRING,Y,4
Advertisement,7,app,56,TargetCompID,STRING,Y,5
Advertisement,7,app,115,OnBehalfOfCompID,STRING,N,6
Advertisement,7,app,128,DeliverToCompID,STRING,N,7
Advertisement,7,app,90,SecureDataLen,LENGTH,N,8
Advertisement,7,app,91,SecureData,DATA,N,9
Advertisement,7,app,34,MsgSeqNum,SEQNUM,Y,10
Advertisement,7,app,50,SenderSubID,STRING,N,11
Advertisement,7,app,142,SenderLocationID,STRING,N,12
Advertisement,7,app,57,TargetSubID,STRING,N,13
Advertisement,7,app,143,TargetLocationID,STRING,N,14
Advertisement,7,app,116,OnBehalfOfSubID,STRING,N,15
Advertisement,7,app,144,OnBehalfOfLocationID,STRING,N,16
Advertisement,7,app,129,DeliverToSubID,STRING,N,17
Advertisement,7,app,145,DeliverToLocationID,STRING,N,18
Advertisement,7,app,43,PossDupFlag,BOOLEAN,N,19
Advertisement,7,app,97,PossResend,BOOLEAN,N,20
Advertisement,7,app,52,SendingTime,UTCTIMESTAMP,Y,21
Advertisement,7,app,122,OrigSendingTime,UTCTIMESTAMP,N,22
Advertisement,7,app,212,XmlDataLen,LENGTH,N,23
Advertisement,7,app,213,XmlData,DATA,N,24
Advertisement,7,app,347,MessageEncoding,STRING,N,25
Advertisement,7,app,369,LastMsgSeqNumProcessed,SEQNUM,N,26
Advertisement,7,app,627,NoHops,GROUP,N,27
Advertisement,7,app,628,HopCompID,STRING,N,28
Advertisement,7,app,629,HopSendingTime,UTCTIMESTAMP,N,29
Advertisement,7,app,630,HopRefID,SEQNUM,N,30
Advertisement,7,app,2,AdvId,STRING,Y,31
Advertisement,7,app,5,AdvTransType,STRING,Y,32
Advertisement,7,app,3,AdvRefID,STRING,N,33
Advertisement,7,app,55,Symbol,STRING,N,34
Advertisement,7,app,65,SymbolSfx,STRING,N,35
Advertisement,7,app,48,SecurityID,STRING,N,36
Advertisement,7,app,22,SecurityIDSource,STRING,N,37
Advertisement,7,app,454,NoSecurityAltID,GROUP,N,38
Advertisement,7,app,455,SecurityAltID,STRING,N,39
Advertisement,7,app,456,SecurityAltIDSource,STRING,N,40
Advertisement,7,app,460,Product,INT,N,41
Advertisement,7,app,461,CFICode,STRING,N,42
Advertisement,7,app,167,SecurityType,STRING,N,43
Advertisement,7,app,762,SecuritySubType,STRING,N,44
Advertisement,7,app,200,MaturityMonthYear,MONTHYEAR,N,45
Advertisement,7,app,541,MaturityDate,LOCALMKTDATE,N,46
Advertisement,7,app,201,PutOrCall,INT,N,47
Advertisement,7,app,224,CouponPaymentDate,LOCALMKTDATE,N,48
Advertisement,7,app,225,IssueDate,LOCALMKTDATE,N,49
Advertisement,7,app,239,RepoCollateralSecurityType,STRING,N,50
Advertisement,7,app,226,RepurchaseTerm,INT,N,51
Advertisement,7,app,227,RepurchaseRate,PERCENTAGE,N,52
Advertisement,7,app,228,Factor,FLOAT,N,53
Advertisement,7,app,255,CreditRating,STRING,N,54
Advertisement,7,app,543,InstrRegistry,STRING,N,55
Advertisement,7,app,470,CountryOfIssue,COUNTRY,N,56
Advertisement,7,app,471,StateOrProvinceOfIssue,STRING,N,57
Advertisement,7,app,472,LocaleOfIssue,STRING,N,58
Advertisement,7,app,240,RedemptionDate,LOCALMKTDATE,N,59
Advertisement,7,app,202,StrikePrice,PRICE,N,60
Advertisement,7,app,947,StrikeCurrency,CURRENCY,N,61
Advertisement,7,app,206,OptAttribute,CHAR,N,62
Advertisement,7,app,231,ContractMultiplier,FLOAT,N,63
Advertisement,7,app,223,CouponRate,PERCENTAGE,N,64
Advertisement,7,app,207,SecurityExchange,EXCHANGE,N,65
Advertisement,7,app,106,Issuer,STRING,N,66
Advertisement,7,app,348,EncodedIssuerLen,LENGTH,N,67
Advertisement,7,app,349,EncodedIssuer,DATA,N,68
Advertisement,7,app,107,SecurityDesc,STRING,N,69
Advertisement,7,app,350,EncodedSecurityDescLen,LENGTH,N,70
Advertisement,7,app,351,EncodedSecurityDesc,DATA,N,71
Advertisement,7,app,691,Pool,STRING,N,72
Advertisement,7,app,667,ContractSettlMonth,MONTHYEAR,N,73
Advertisement,7,app,875,CPProgram,INT,N,74
Advertisement,7,app,876,CPRegType,STRING,N,75
Advertisement,7,app,864,NoEvents,GROUP,N,76
Advertisement,7,app,865,EventType,INT,N,77
Advertisement,7,app,866,EventDate,LOCALMKTDATE,N,78
Advertisement,7,app,867,EventPx,PRICE,N,79
Advertisement,7,app,868,EventText,STRING,N,80
Advertisement,7,app,873,DatedDate,LOCALMKTDATE,N,81
Advertisement,7,app,874,InterestAccrualDate,LOCALMKTDATE,N,82
Advertisement,7,app,555,NoLegs,GROUP,N,83
Advertisement,7,app,711,NoUnderlyings,GROUP,N,84
Advertisement,7,app,4,AdvSide,CHAR,Y,85
Advertisement,7,app,53,Quantity,QTY,Y,86
Advertisement,7,app,854,QtyType,INT,N,87
Advertisement,7,app,44,Price,PRICE,N,88
Advertisement,7,app,15,Currency,CURRENCY,N,89
Advertisement,7,app,75,TradeDate,LOCALMKTDATE,N,90
Advertisement,7,app,60,TransactTime,UTCTIMESTAMP,N,91
Advertisement,7,app,58,Text,STRING,N,92
Advertisement,7,app,354,EncodedTextLen,LENGTH,N,93
Advertisement,7,app,355,EncodedText,DATA,N,94
Advertisement,7,app,149,URLLink,STRING,N,95
Advertisement,7,app,30,LastMkt,EXCHANGE,N,96
Advertisement,7,app,336,TradingSessionID,STRING,N,97
Advertisement,7,app,625,TradingSessionSubID,STRING,N,98
Advertisement,7,app,93,SignatureLength,LENGTH,N,99
Advertisement,7,app,89,Signature,DATA,N,100
Advertisement,7,app,10,CheckSum,STRING,Y,101
AllocationInstruction,J,app,8,BeginString,STRING,Y,1
AllocationInstruction,J,app,9,BodyLength,LENGTH,Y,2
AllocationInstruction,J,app,35,MsgType,STRING,Y,3
AllocationInstruction,J,app,49,SenderCompID,STRING,Y,4
AllocationInstruction,J,app,56,TargetCompID,STRING,Y,5
AllocationInstruction,J,app,115,OnBehalfOfCompID,STRING,N,6
AllocationInstruction,J,app,128,DeliverToCompID,STRING,N,7
AllocationInstruction,J,app,90,SecureDataLen,LENGTH,N,8
AllocationInstruction,J,app,91,SecureData,DATA,N,9
AllocationInstruction,J,app,34,MsgSeqNum,SEQNUM,Y,10
AllocationInstruction,J,app,50,SenderSubID,STRING,N,11
AllocationInstruction,J,app,142,SenderLocationID,STRING,N,12
AllocationInstruction,J,app,57,TargetSubID,STRING,N,13
AllocationInstruction,J,app,143,TargetLocationID,STRING,N,14
AllocationInstruction,J,app,116,OnBehalfOfSubID,STRING,N,15
AllocationInstruction,J,app,144,OnBehalfOfLocationID,STRING,N,16
