id,value,category,amount
1,149,cat_1,149
2,832,cat_2,832
3,587,cat_3,587
4,833,cat_4,833
5,941,cat_0,941
6,156,cat_1,156
7,415,cat_2,415
8,382,cat_3,382
9,901,cat_4,901
10,54,cat_0,54
11,770,cat_1,770
12,541,cat_2,541
13,863,cat_3,863
14,832,cat_4,832
15,220,cat_0,220
16,563,cat_1,563
17,586,cat_2,586
18,204,cat_3,204
19,948,cat_4,948
20,595,cat_0,595
21,970,cat_1,970
22,529,cat_2,529
23,152,cat_3,152
24,900,cat_4,900
25,33,cat_0,33
26,374,cat_1,374
27,818,cat_2,818
28,811,cat_3,811
29,60,cat_4,60
30,668,cat_0,668
31,676,cat_1,676
32,718,cat_2,718
33,206,cat_3,206
34,70,cat_4,70
35,789,cat_0,789
36,29,cat_1,29
37,337,cat_2,337
38,293,cat_3,293
39,987,cat_4,987
40,514,cat_0,514
41,988,cat_1,988
42,607,cat_2,607
43,345,cat_3,345
44,286,cat_4,286
45,340,cat_0,340
46,94,cat_1,94
47,519,cat_2,519
48,485,cat_3,485
49,125,cat_4,125
50,558,cat_0,558
51,583,cat_1,583
52,933,cat_2,933
53,305,cat_3,305
54,511,cat_4,511
55,548,cat_0,548
56,527,cat_1,527
57,183,cat_2,183
58,423,cat_3,423
59,788,cat_4,788
60,673,cat_0,673
61,164,cat_1,164
62,782,cat_2,782
63,830,cat_3,830
64,333,cat_4,333
65,312,cat_0,312
66,583,cat_1,583
67,805,cat_2,805
68,682,cat_3,682
69,183,cat_4,183
70,114,cat_0,114
71,639,cat_1,639
72,380,cat_2,380
73,232,cat_3,232
74,210,cat_4,210
75,69,cat_0,69
76,768,cat_1,768
77,377,cat_2,377
78,74,cat_3,74
79,864,cat_4,864
80,523,cat_0,523
81,606,cat_1,606
82,446,cat_2,446
83,709,cat_3,709
84,259,cat_4,259
85,96,cat_0,96
86,806,cat_1,806
87,585,cat_2,585
88,976,cat_3,976
89,782,cat_4,782
90,756,cat_0,756
91,800,cat_1,800
92,342,cat_2,342
93,506,cat_3,506
94,36,cat_4,36
95,472,cat_0,472
96,182,cat_1,182
97,846,cat_2,846
98,378,cat_3,378
99,708,cat_4,708
100,978,cat_0,978
101,691,cat_1,691
102,651,cat_2,651
103,465,cat_3,465
104,694,cat_4,694
105,78,cat_0,78
106,202,cat_1,202
107,257,cat_2,257
108,420,cat_3,420
109,865,cat_4,865
110,391,cat_0,391
111,829,cat_1,829
112,527,cat_2,527
113,592,cat_3,592
114,192,cat_4,192
115,749,cat_0,749
116,717,cat_1,717
117,403,cat_2,403
118,768,cat_3,768
119,919,cat_4,919
120,590,cat_0,590
121,979,cat_1,979
122,896,cat_2,896
123,856,cat_3,856
124,368,cat_4,368
125,226,cat_0,226
126,784,cat_1,784
127,333,cat_2,333
128,735,cat_3,735
129,20,cat_4,20
130,930,cat_0,930
131,545,cat_1,545
132,124,cat_2,124
133,57,cat_3,57
134,169,cat_4,169
135,404,cat_0,404
136,175,cat_1,175
137,812,cat_2,812
138,424,cat_3,424
139,462,cat_4,462
140,652,cat_0,652
141,384,cat_1,384
142,640,cat_2,640
143,34,cat_3,34
144,628,cat_4,628
145,880,cat_0,880
146,453,cat_1,453
147,880,cat_2,880
148,117,cat_3,117
149,180,cat_4,180
150,141,cat_0,141
151,271,cat_1,271
152,734,cat_2,734
153,21,cat_3,21
154,442,cat_4,442
155,975,cat_0,975
156,401,cat_1,401
157,648,cat_2,648
158,635,cat_3,635
159,98,cat_4,98
160,359,cat_0,359
161,123,cat_1,123
162,514,cat_2,514
163,70,cat_3,70
164,619,cat_4,619
165,683,cat_0,683
166,103,cat_1,103
167,192,cat_2,192
168,481,cat_3,481
169,885,cat_4,885
170,451,cat_0,451
171,637,cat_1,637
172,331,cat_2,331
173,798,cat_3,798
174,928,cat_4,928
175,707,cat_0,707
176,388,cat_1,388
177,873,cat_2,873
178,953,cat_3,953
179,290,cat_4,290
180,467,cat_0,467
181,323,cat_1,323
182,194,cat_2,194
183,346,cat_3,346
184,331,cat_4,331
185,823,cat_0,823
186,102,cat_1,102
187,951,cat_2,951
188,177,cat_3,177
189,599,cat_4,599
190,400,cat_0,400
191,547,cat_1,547
192,959,cat_2,959
193,60,cat_3,60
194,744,cat_4,744
195,232,cat_0,232
196,810,cat_1,810
197,869,cat_2,869
198,46,cat_3,46
199,862,cat_4,862
200,308,cat_0,308
201,92,cat_1,92
202,67,cat_2,67
203,490,cat_3,490
204,748,cat_4,748
205,183,cat_0,183
206,514,cat_1,514
207,138,cat_2,138
208,446,cat_3,446
209,952,cat_4,952
210,321,cat_0,321
211,139,cat_1,139
212,692,cat_2,692
213,837,cat_3,837
214,434,cat_4,434
215,806,cat_0,806
216,75,cat_1,75
217,518,cat_2,518
218,303,cat_3,303
219,294,cat_4,294
220,390,cat_0,390
221,850,cat_1,850
222,975,cat_2,975
223,817,cat_3,817
224,901,cat_4,901
225,953,cat_0,953
226,437,cat_1,437
227,975,cat_2,975
228,951,cat_3,951
229,696,cat_4,696
230,188,cat_0,188
231,441,cat_1,441
232,977,cat_2,977
233,713,cat_3,713
234,15,cat_4,15
235,732,cat_0,732
236,500,cat_1,500
237,146,cat_2,146
238,912,cat_3,912
239,539,cat_4,539
240,26,cat_0,26
241,304,cat_1,304
242,957,cat_2,957
243,581,cat_3,581
244,831,cat_4,831
245,494,cat_0,494
246,797,cat_1,797
247,829,cat_2,829
248,896,cat_3,896
249,933,cat_4,933
250,433,cat_0,433
251,108,cat_1,108
252,327,cat_2,327
253,676,cat_3,676
254,683,cat_4,683
255,163,cat_0,163
256,818,cat_1,818
257,916,cat_2,916
258,184,cat_3,184
259,916,cat_4,916
260,111,cat_0,111
261,185,cat_1,185
262,30,cat_2,30
263,639,cat_3,639
264,132,cat_4,132
265,64,cat_0,64
266,548,cat_1,548
267,82,cat_2,82
268,847,cat_3,847
269,321,cat_4,321
270,204,cat_0,204
271,524,cat_1,524
272,543,cat_2,543
273,871,cat_3,871
274,336,cat_4,336
275,578,cat_0,578
276,399,cat_1,399
277,639,cat_2,639
278,101,cat_3,101
279,169,cat_4,169
280,958,cat_0,958
281,561,cat_1,561
282,862,cat_2,862
283,436,cat_3,436
284,673,cat_4,673
285,558,cat_0,558
286,979,cat_1,979
287,392,cat_2,392
288,980,cat_3,980
289,896,cat_4,896
290,778,cat_0,778
291,801,cat_1,801
292,243,cat_2,243
293,720,cat_3,720
294,56,cat_4,56
295,333,cat_0,333
296,156,cat_1,156
297,359,cat_2,359
298,837,cat_3,837
299,482,cat_4,482
300,563,cat_0,563
301,550,cat_1,550
302,930,cat_2,930
303,873,cat_3,873
304,254,cat_4,254
305,9,cat_0,9
306,939,cat_1,939
307,418,cat_2,418
308,378,cat_3,378
309,357,cat_4,357
310,449,cat_0,449
311,905,cat_1,905
312,324,cat_2,324
313,420,cat_3,420
314,747,cat_4,747
315,752,cat_0,752
316,370,cat_1,370
317,10,cat_2,10
318,164,cat_3,164
319,938,cat_4,938
320,582,cat_0,582
321,541,cat_1,541
322,852,cat_2,852
323,629,cat_3,629
324,967,cat_4,967
325,566,cat_0,566
326,864,cat_1,864
327,209,cat_2,209
328,133,cat_3,133
329,468,cat_4,468
330,706,cat_0,706
331,492,cat_1,492
332,858,cat_2,858
333,143,cat_3,143
334,568,cat_4,568
335,250,cat_0,250
336,594,cat_1,594
337,768,cat_2,768
338,112,cat_3,112
339,416,cat_4,416
340,61,cat_0,61
341,965,cat_1,965
342,797,cat_2,797
343,863,cat_3,863
344,323,cat_4,323
345,598,cat_0,598
346,958,cat_1,958
347,737,cat_2,737
348,640,cat_3,640
349,368,cat_4,368
350,740,cat_0,740
351,584,cat_1,584
352,860,cat_2,860
353,848,cat_3,848
354,880,cat_4,880
355,482,cat_0,482
356,698,cat_1,698
357,349,cat_2,349
358,352,cat_3,352
359,333,cat_4,333
360,93,cat_0,93
361,403,cat_1,403
362,855,cat_2,855
363,188,cat_3,188
364,638,cat_4,638
365,546,cat_0,546
366,647,cat_1,647
367,986,cat_2,986
368,806,cat_3,806
369,26,cat_4,26
370,423,cat_0,423
371,46,cat_1,46
372,14,cat_2,14
373,545,cat_3,545
374,410,cat_4,410
375,136,cat_0,136
376,266,cat_1,266
377,730,cat_2,730
378,714,cat_3,714
379,679,cat_4,679
380,23,cat_0,23
381,123,cat_1,123
382,575,cat_2,575
