date,rate,prev_rate,change_bps,direction,days_since_prev,era,event,event_category,pm,party,chancellor,governor,boe_independent
1975-01-20,11.25,,,First,,Stagflation & Sterling Crisis,Post oil-shock easing begins,Oil Shock,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-01-27,11.00,11.25,-25,Cut,7,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-02-10,10.75,11.00,-25,Cut,14,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-02-17,10.50,10.75,-25,Cut,7,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-03-10,10.25,10.50,-25,Cut,21,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-03-24,10.00,10.25,-25,Cut,14,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-04-21,9.75,10.00,-25,Cut,28,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-05-05,10.00,9.75,25,Hike,14,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-07-28,11.00,10.00,100,Hike,84,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-10-06,12.00,11.00,100,Hike,70,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-11-17,11.75,12.00,-25,Cut,42,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-12-01,11.50,11.75,-25,Cut,14,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
1975-12-29,11.25,11.50,-25,Cut,28,Stagflation & Sterling Crisis,,,Harold Wilson,Labour,Denis Healey,Gordon Richardson,false
