MsgSeqNum,SendingTime,MsgType,ClOrdID,Symbol,Side,ExecType,LastQty,LastPx,AvgPx,ExecID,AllocAccount,AllocQty
1001,2024-01-15T09:30:15.123,8,ORD-2024-001,AAPL,1,F,1000,175.50,175.50,EXEC-001,FUND-A|FUND-B|FUND-C,400|300|300
1003,2024-01-15T09:32:30.789,8,ORD-2024-004,GOOGL,1,F,500,140.75,140.75,EXEC-002,FUND-D|FUND-E,250|250
1006,2024-01-15T09:35:15.456,8,ORD-2024-007,MSFT,2,F,1200,405.25,405.25,EXEC-003,FUND-X|FUND-Y,800|400
1008,2024-01-15T09:37:22.234,8,ORD-2024-009,TSLA,1,F,750,245.80,245.80,EXEC-004,FUND-A|FUND-Z,500|250
1010,2024-01-15T09:40:05.678,8,ORD-2024-011,NVDA,2,F,2000,720.50,720.50,EXEC-005,FUND-M|FUND-N|FUND-O,700|700|600
1012,2024-01-15T09:42:18.901,8,ORD-2024-013,AAPL,1,F,800,176.25,176.25,EXEC-006,FUND-B|FUND-C,500|300
1015,2024-01-15T09:45:30.345,8,ORD-2024-015,GOOGL,2,F,1500,141.50,141.50,EXEC-007,FUND-D|FUND-E|FUND-A,600|450|450
1018,2024-01-15T09:48:12.567,8,ORD-2024-018,MSFT,1,F,900,406.75,406.75,EXEC-008,FUND-X,900
1020,2024-01-15T09:50:45.789,8,ORD-2024-020,TSLA,2,F,1100,246.30,246.30,EXEC-009,FUND-Y|FUND-Z,600|500
1023,2024-01-15T09:53:22.123,8,ORD-2024-023,NVDA,1,F,1800,722.00,722.00,EXEC-010,FUND-M|FUND-N,900|900
