longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-122.25,37.87,41,685,141,266,123,5.2289,NEAR BAY,384600
-122.25,37.81,39,854,242,389,228,3.125,NEAR BAY,237500
-122.26,38.02,5,3846,786,2053,716,5.0473,NEAR BAY,184800
-122.05,37.95,22,5175,1213,2804,1091,2.85,NEAR BAY,144600
-122.11,37.99,16,3913,710,1782,676,5.1297,NEAR BAY,206700
-122.27,37.73,31,5785,1379,2973,1312,3.2689,NEAR BAY,231000
-122.26,37.89,52,3078,494,1005,462,6.381,NEAR BAY,342200
-122.24,38.13,37,3223,564,1325,539,4.0938,NEAR BAY,126900
-122.16,37.76,36,2781,574,1438,519,2.4598,NEAR BAY,155500
-122.43,37.73,52,1029,205,461,212,5.0782,NEAR BAY,310800
-122.21,37.84,34,3038,490,1140,496,7.0548,NEAR BAY,325900
-122.23,37.85,52,2800,411,1061,403,6.3434,NEAR BAY,373600
-122.16,37.74,47,824,223,533,166,2.625,NEAR BAY,98200
-122.13,38.02,52,2378,508,940,451,2.9583,NEAR BAY,166000
-122.05,38,36,2476,472,1213,393,3.7333,NEAR BAY,136400
-122.07,37.41,26,1184,225,815,218,5.7657,NEAR BAY,322300
-122.24,37.82,52,3481,751,1444,718,3.9,NEAR BAY,275700
-122.04,37.61,36,1151,216,727,215,4.1719,NEAR BAY,187000
-122.23,38.13,29,5154,1084,2459,1019,3.2664,NEAR BAY,142900
-122.43,37.75,52,2155,468,962,490,3.775,NEAR BAY,325900
-122.11,38.01,41,1345,272,718,283,3.3831,NEAR BAY,129400
-122.41,37.71,49,1852,429,1615,447,3.495,NEAR BAY,217800
-122.3,37.97,34,2854,528,1211,452,3.5353,NEAR BAY,164700
-122.28,37.85,49,1130,244,607,239,2.4597,NEAR BAY,93800
-122.13,37.71,44,1421,298,609,270,3.5781,NEAR BAY,180000
-122.39,37.76,52,157,28,88,27,3.675,NEAR BAY,162500
-122.55,37.92,52,2303,350,859,359,6.1085,NEAR BAY,500001
-122.3,37.97,30,4030,772,1777,718,3.6393,NEAR BAY,184000
-122.16,37.72,10,2229,601,877,485,3.3431,NEAR BAY,137500
-122.04,37.53,25,4458,922,2998,890,3.9667,NEAR BAY,218500
-122.51,37.91,2,647,136,203,118,6.641,NEAR BAY,310000
-122.25,37.89,41,1125,195,356,181,6.1593,NEAR BAY,344000
-122.17,37.75,37,1379,287,835,259,2.4962,NEAR BAY,91800
-122.43,37.8,52,2520,649,959,607,5.7934,NEAR BAY,500001
-122.29,37.89,52,3171,698,1498,696,3.1795,NEAR BAY,218200
-122.3,38.27,4,1051,263,455,248,3.6389,NEAR BAY,130200
-122.54,37.89,33,4971,836,1907,795,6.1275,NEAR BAY,424400
-122.14,37.85,27,9147,1276,3371,1269,7.3267,NEAR BAY,389900
-122.24,37.8,47,2046,588,1213,554,2.6292,NEAR BAY,182700
-122.47,37.74,52,3688,640,1605,567,4.9537,NEAR BAY,365600
-122.09,37.35,30,1502,186,501,180,10.0259,NEAR BAY,500001
-122.22,37.82,42,2991,335,1018,335,13.499,NEAR BAY,500001
-122.43,37.8,52,2994,821,1240,779,3.3715,NEAR BAY,500000
-122.19,37.74,36,847,212,567,159,1.1765,NEAR BAY,87100
-122.17,38.07,15,2125,278,857,272,6.4599,NEAR BAY,219700
-122.34,37.95,45,1128,240,702,270,3.6719,NEAR BAY,134100
-122.35,38.3,18,3735,557,1504,521,5.6304,NEAR BAY,243100
-122.09,37.64,32,1578,284,836,292,3.9063,NEAR BAY,184200
-122.17,37.78,42,1524,260,651,267,3.6875,NEAR BAY,157300
-122.23,37.79,30,999,264,1011,263,1.8854,NEAR BAY,137500
