trade_id,source,trade_date,trade_time,symbol,isin,cusip,side,quantity,price,amount,currency,counterparty,trader,book,strategy,venue,settlement_date,status,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6
TRD00000001,Bloomberg,2025-08-11,11:07:08,AMD,US120716158,838153812,SELL,398300,90.93,4389246.24,USD,HEDGE_Z,TRADER_2,BOOK_6,STRAT_1,NYSE,2025-09-03,SETTLED,VAL_9153,VAL_8091,VAL_6848,VAL_8116,VAL_2352,VAL_4093
TRD00000002,Bloomberg,2025-08-22,15:55:21,NVDA,US103091051,115641668,SELL,562000,166.3,3517793.34,USD,FUND_X,TRADER_12,BOOK_3,STRAT_3,LSE,2025-09-03,SETTLED,VAL_1123,VAL_9590,VAL_9530,VAL_7980,VAL_9624,VAL_7634
TRD00000003,JPMorgan,2025-08-30,13:38:38,MSFT,US433243800,284835686,BUY,165000,279.42,1468885.02,CHF,BANK_A,TRADER_10,BOOK_7,STRAT_4,EUREX,2025-09-03,SETTLED,VAL_3887,VAL_5707,VAL_5092,VAL_4907,VAL_7699,VAL_2718
TRD00000004,Barclays,2025-08-22,14:13:07,GOOGL,US344960512,709856052,BUY,710800,463.98,2682177.18,EUR,FUND_X,TRADER_8,BOOK_6,STRAT_3,EUREX,2025-09-03,CONFIRMED,VAL_8162,VAL_3677,VAL_5555,VAL_3829,VAL_5128,VAL_2628
TRD00000005,Barclays,2025-08-05,10:55:13,NVDA,US648851100,345887028,SELL,187200,298.55,2694854.96,USD,FUND_Y,TRADER_15,BOOK_2,STRAT_4,EUREX,2025-09-03,CONFIRMED,VAL_3605,VAL_3966,VAL_5977,VAL_9119,VAL_8017,VAL_6701
TRD00000006,Reuters,2025-08-07,12:46:06,MSFT,US944428920,824459498,BUY,442700,182.45,3608264.04,JPY,FUND_Y,TRADER_2,BOOK_2,STRAT_5,LSE,2025-09-03,CONFIRMED,VAL_1590,VAL_6470,VAL_4267,VAL_6654,VAL_2452,VAL_7923
TRD00000007,Reuters,2025-08-05,15:03:19,NVDA,US198371512,988625714,BUY,561100,367.88,1515477.57,CHF,FUND_X,TRADER_18,BOOK_6,STRAT_5,NASDAQ,2025-09-03,ALLOCATED,VAL_8165,VAL_6490,VAL_8138,VAL_2180,VAL_6867,VAL_4325
TRD00000008,GoldmanSachs,2025-08-09,10:38:41,TSLA,US598756798,614083424,BUY,21600,112.39,2557199.69,CHF,FUND_X,TRADER_9,BOOK_1,STRAT_4,NASDAQ,2025-09-03,CONFIRMED,VAL_2513,VAL_2840,VAL_6498,VAL_5617,VAL_4087,VAL_6080
TRD00000009,GoldmanSachs,2025-08-20,15:04:00,MSFT,US825076697,491986412,BUY,368600,254.33,2144194.4,EUR,BANK_B,TRADER_13,BOOK_7,STRAT_3,LSE,2025-09-03,PENDING,VAL_2868,VAL_3346,VAL_8462,VAL_1189,VAL_3735,VAL_6026
TRD00000010,Bloomberg,2025-08-11,12:49:01,AAPL,US812581876,155580647,SELL,285800,167.87,2429773.24,GBP,FUND_X,TRADER_7,BOOK_5,STRAT_1,EUREX,2025-09-03,PENDING,VAL_9593,VAL_9895,VAL_6755,VAL_4428,VAL_7746,VAL_7131
TRD00000011,JPMorgan,2025-08-09,13:58:35,GOOGL,US235730029,357801579,SELL,839500,303.3,3443396.01,USD,BANK_A,TRADER_4,BOOK_9,STRAT_3,LSE,2025-09-03,PENDING,VAL_6558,VAL_1948,VAL_7394,VAL_9385,VAL_2050,VAL_2151
TRD00000012,Barclays,2025-08-14,16:00:28,AMZN,US943285291,150180743,SELL,809400,203.57,3987585.35,GBP,FUND_Y,TRADER_11,BOOK_3,STRAT_4,NYSE,2025-09-03,SETTLED,VAL_6934,VAL_9412,VAL_7667,VAL_6877,VAL_1689,VAL_2470
TRD00000013,Bloomberg,2025-08-28,12:31:36,IBM,US257382685,373032870,BUY,343600,26.2,4500885.87,GBP,BANK_B,TRADER_6,BOOK_4,STRAT_4,NASDAQ,2025-09-03,PENDING,VAL_7151,VAL_6491,VAL_9074,VAL_6726,VAL_2158,VAL_8520
TRD00000014,Barclays,2025-08-23,14:43:05,GOOGL,US462170909,186117568,BUY,134400,300.57,3029282.95,JPY,BANK_B,TRADER_6,BOOK_8,STRAT_5,LSE,2025-09-03,ALLOCATED,VAL_8867,VAL_8701,VAL_4490,VAL_2663,VAL_5001,VAL_6346
