algo_strategy,average_price,client_name,client_order_id,event_type,filled_quantity,market_price,order_id,order_level,order_type,parent_order_id,participation_pct,quantity,record_id,remaining_quantity,side,snapshot_time,state,ticker,urgency
,0.0,Wellington Management,C20241216_PROD,NEW,0,650.0,CLIENT_001,0,CLIENT,,,2000000,REC_00000000,2000000,Buy,2025-08-12T09:00:00,PENDING,ASML.AS,
,0.0,Wellington Management,C20241216_PROD,ACCEPTED,0,650.0,CLIENT_001,0,CLIENT,,,2000000,REC_00000001,2000000,Buy,2025-08-12T09:00:01,ACCEPTED,ASML.AS,
VWAP,0.0,,C20241216_PROD,NEW,0,650.0,ALGO_001,1,ALGO_PARENT,CLIENT_001,0.0,2000000,REC_00000002,2000000,Buy,2025-08-12T09:00:01,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.0767641022296,SLICE_00001,2,ALGO_SLICE,ALGO_001,,6759,REC_00000003,6759,Buy,2025-08-12T09:00:24,PENDING,ASML.AS,CRITICAL
,650.101301193875,,C20241216_PROD,SLICE_UPDATE,2253,650.0767641022296,SLICE_00001,2,ALGO_SLICE,ALGO_001,,6759,REC_00000004,4506,Buy,2025-08-12T09:00:24.020000,PARTIAL,ASML.AS,CRITICAL
VWAP,650.101301193875,,C20241216_PROD,ALGO_UPDATE,2253,650.0767641022296,ALGO_001,1,ALGO_PARENT,CLIENT_001,0.8,2000000,REC_00000005,1997747,Buy,2025-08-12T09:00:24.025000,WORKING,ASML.AS,CRITICAL
,650.101301193875,Wellington Management,C20241216_PROD,CLIENT_UPDATE,2253,650.0767641022296,CLIENT_001,0,CLIENT,,,2000000,REC_00000006,1997747,Buy,2025-08-12T09:00:24.030000,WORKING,ASML.AS,
,650.1060871329363,,C20241216_PROD,SLICE_UPDATE,4506,650.0767641022296,SLICE_00001,2,ALGO_SLICE,ALGO_001,,6759,REC_00000007,2253,Buy,2025-08-12T09:00:24.070000,PARTIAL,ASML.AS,CRITICAL
VWAP,650.1036941634056,,C20241216_PROD,ALGO_UPDATE,4506,650.0767641022296,ALGO_001,1,ALGO_PARENT,CLIENT_001,1.6,2000000,REC_00000008,1995494,Buy,2025-08-12T09:00:24.075000,WORKING,ASML.AS,CRITICAL
,650.1036941634056,Wellington Management,C20241216_PROD,CLIENT_UPDATE,4506,650.0767641022296,CLIENT_001,0,CLIENT,,,2000000,REC_00000009,1995494,Buy,2025-08-12T09:00:24.080000,WORKING,ASML.AS,
,650.1039238738105,,C20241216_PROD,SLICE_UPDATE,6759,650.0767641022296,SLICE_00001,2,ALGO_SLICE,ALGO_001,,6759,REC_00000010,0,Buy,2025-08-12T09:00:24.120000,FILLED,ASML.AS,CRITICAL
VWAP,650.1037707335406,,C20241216_PROD,ALGO_UPDATE,6759,650.0767641022296,ALGO_001,1,ALGO_PARENT,CLIENT_001,2.4,2000000,REC_00000011,1993241,Buy,2025-08-12T09:00:24.125000,WORKING,ASML.AS,CRITICAL
,650.1037707335406,Wellington Management,C20241216_PROD,CLIENT_UPDATE,6759,650.0767641022296,CLIENT_001,0,CLIENT,,,2000000,REC_00000012,1993241,Buy,2025-08-12T09:00:24.130000,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.1470356678468,SLICE_00002,2,ALGO_SLICE,ALGO_001,,7413,REC_00000013,7413,Buy,2025-08-12T09:01:22,PENDING,ASML.AS,CRITICAL
,650.1685378313579,,C20241216_PROD,SLICE_UPDATE,2471,650.1470356678468,SLICE_00002,2,ALGO_SLICE,ALGO_001,,7413,REC_00000014,4942,Buy,2025-08-12T09:01:22.020000,PARTIAL,ASML.AS,CRITICAL
VWAP,650.121109790822,,C20241216_PROD,ALGO_UPDATE,9230,650.1470356678468,ALGO_001,1,ALGO_PARENT,CLIENT_001,3.2,2000000,REC_00000015,1990770,Buy,2025-08-12T09:01:22.025000,WORKING,ASML.AS,CRITICAL
,650.121109790822,Wellington Management,C20241216_PROD,CLIENT_UPDATE,9230,650.1470356678468,CLIENT_001,0,CLIENT,,,2000000,REC_00000016,1990770,Buy,2025-08-12T09:01:22.030000,WORKING,ASML.AS,
,650.1675034082267,,C20241216_PROD,SLICE_UPDATE,7413,650.1470356678468,SLICE_00002,2,ALGO_SLICE,ALGO_001,,7413,REC_00000017,0,Buy,2025-08-12T09:01:22.120000,FILLED,ASML.AS,CRITICAL
VWAP,650.1372879771905,,C20241216_PROD,ALGO_UPDATE,14172,650.1470356678468,ALGO_001,1,ALGO_PARENT,CLIENT_001,5.0,2000000,REC_00000018,1985828,Buy,2025-08-12T09:01:22.125000,WORKING,ASML.AS,CRITICAL
,650.1372879771905,Wellington Management,C20241216_PROD,CLIENT_UPDATE,14172,650.1470356678468,CLIENT_001,0,CLIENT,,,2000000,REC_00000019,1985828,Buy,2025-08-12T09:01:22.130000,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.1294935190222,SLICE_00003,2,ALGO_SLICE,ALGO_001,,6624,REC_00000020,6624,Buy,2025-08-12T09:02:10,PENDING,ASML.AS,CRITICAL
,650.1604596187271,,C20241216_PROD,SLICE_UPDATE,2208,650.1294935190222,SLICE_00003,2,ALGO_SLICE,ALGO_001,,6624,REC_00000021,4416,Buy,2025-08-12T09:02:10.020000,PARTIAL,ASML.AS,CRITICAL
VWAP,650.1404114805184,,C20241216_PROD,ALGO_UPDATE,16380,650.1294935190222,ALGO_001,1,ALGO_PARENT,CLIENT_001,5.7,2000000,REC_00000022,1983620,Buy,2025-08-12T09:02:10.025000,WORKING,ASML.AS,CRITICAL
,650.1404114805184,Wellington Management,C20241216_PROD,CLIENT_UPDATE,16380,650.1294935190222,CLIENT_001,0,CLIENT,,,2000000,REC_00000023,1983620,Buy,2025-08-12T09:02:10.030000,WORKING,ASML.AS,
,650.1675337922545,,C20241216_PROD,SLICE_UPDATE,4416,650.1294935190222,SLICE_00003,2,ALGO_SLICE,ALGO_001,,6624,REC_00000024,2208,Buy,2025-08-12T09:02:10.070000,PARTIAL,ASML.AS,CRITICAL
VWAP,650.14363323995,,C20241216_PROD,ALGO_UPDATE,18588,650.1294935190222,ALGO_001,1,ALGO_PARENT,CLIENT_001,6.5,2000000,REC_00000025,1981412,Buy,2025-08-12T09:02:10.075000,WORKING,ASML.AS,CRITICAL
,650.14363323995,Wellington Management,C20241216_PROD,CLIENT_UPDATE,18588,650.1294935190222,CLIENT_001,0,CLIENT,,,2000000,REC_00000026,1981412,Buy,2025-08-12T09:02:10.080000,WORKING,ASML.AS,
,650.1619373060329,,C20241216_PROD,SLICE_UPDATE,6624,650.1294935190222,SLICE_00003,2,ALGO_SLICE,ALGO_001,,6624,REC_00000027,0,Buy,2025-08-12T09:02:10.120000,FILLED,ASML.AS,CRITICAL
VWAP,650.1455766606997,,C20241216_PROD,ALGO_UPDATE,20796,650.1294935190222,ALGO_001,1,ALGO_PARENT,CLIENT_001,7.3,2000000,REC_00000028,1979204,Buy,2025-08-12T09:02:10.125000,WORKING,ASML.AS,CRITICAL
,650.1455766606997,Wellington Management,C20241216_PROD,CLIENT_UPDATE,20796,650.1294935190222,CLIENT_001,0,CLIENT,,,2000000,REC_00000029,1979204,Buy,2025-08-12T09:02:10.130000,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.0662515491073,SLICE_00004,2,ALGO_SLICE,ALGO_001,,4942,REC_00000030,4942,Buy,2025-08-12T09:03:20,PENDING,ASML.AS,CRITICAL
,650.0966306632515,,C20241216_PROD,SLICE_UPDATE,1647,650.0662515491073,SLICE_00004,2,ALGO_SLICE,ALGO_001,,4942,REC_00000031,3295,Buy,2025-08-12T09:03:20.020000,PARTIAL,ASML.AS,CRITICAL
VWAP,650.1419847140884,,C20241216_PROD,ALGO_UPDATE,22443,650.0662515491073,ALGO_001,1,ALGO_PARENT,CLIENT_001,7.9,2000000,REC_00000032,1977557,Buy,2025-08-12T09:03:20.025000,WORKING,ASML.AS,CRITICAL
,650.1419847140884,Wellington Management,C20241216_PROD,CLIENT_UPDATE,22443,650.0662515491073,CLIENT_001,0,CLIENT,,,2000000,REC_00000033,1977557,Buy,2025-08-12T09:03:20.030000,WORKING,ASML.AS,
,650.0906636696958,,C20241216_PROD,SLICE_UPDATE,3294,650.0662515491073,SLICE_00004,2,ALGO_SLICE,ALGO_001,,4942,REC_00000034,1648,Buy,2025-08-12T09:03:20.070000,PARTIAL,ASML.AS,CRITICAL
