algo_strategy,average_price,client_name,client_order_id,event_type,filled_quantity,market_price,order_id,order_level,order_type,parent_order_id,participation_pct,quantity,record_id,remaining_quantity,side,snapshot_time,state,ticker,urgency
,0.0,Wellington Management,C20241216_PROD,NEW,0,650.0,CLIENT_001,0,CLIENT,,,2000000,REC_00000000,2000000,Buy,2025-08-12T09:00:00,PENDING,ASML.AS,
,0.0,Wellington Management,C20241216_PROD,ACCEPTED,0,650.0,CLIENT_001,0,CLIENT,,,2000000,REC_00000001,2000000,Buy,2025-08-12T09:00:01,ACCEPTED,ASML.AS,
VWAP,0.0,,C20241216_PROD,NEW,0,650.0,ALGO_001,1,ALGO_PARENT,CLIENT_001,0.0,2000000,REC_00000002,2000000,Buy,2025-08-12T09:00:01,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.0768791155718,SLICE_00001,2,ALGO_SLICE,ALGO_001,,3809,REC_00000003,3809,Buy,2025-08-12T09:00:18,PENDING,ASML.AS,URGENT
,650.0914100858312,,C20241216_PROD,SLICE_UPDATE,1269,650.0768791155718,SLICE_00001,2,ALGO_SLICE,ALGO_001,,3809,REC_00000004,2540,Buy,2025-08-12T09:00:18.020000,PARTIAL,ASML.AS,URGENT
VWAP,650.0914100858312,,C20241216_PROD,ALGO_UPDATE,1269,650.0768791155718,ALGO_001,1,ALGO_PARENT,CLIENT_001,0,2000000,REC_00000005,1998731,Buy,2025-08-12T09:00:18.025000,WORKING,ASML.AS,URGENT
,650.0914100858312,Wellington Management,C20241216_PROD,CLIENT_UPDATE,1269,650.0768791155718,CLIENT_001,0,CLIENT,,,2000000,REC_00000006,1998731,Buy,2025-08-12T09:00:18.030000,WORKING,ASML.AS,
,650.0901555893787,,C20241216_PROD,SLICE_UPDATE,2539,650.0768791155718,SLICE_00001,2,ALGO_SLICE,ALGO_001,,3809,REC_00000007,1270,Buy,2025-08-12T09:00:18.070000,PARTIAL,ASML.AS,URGENT
VWAP,650.0907825905596,,C20241216_PROD,ALGO_UPDATE,2539,650.0768791155718,ALGO_001,1,ALGO_PARENT,CLIENT_001,0,2000000,REC_00000008,1997461,Buy,2025-08-12T09:00:18.075000,WORKING,ASML.AS,URGENT
,650.0907825905596,Wellington Management,C20241216_PROD,CLIENT_UPDATE,2539,650.0768791155718,CLIENT_001,0,CLIENT,,,2000000,REC_00000009,1997461,Buy,2025-08-12T09:00:18.080000,WORKING,ASML.AS,
,650.0913928619356,,C20241216_PROD,SLICE_UPDATE,3809,650.0768791155718,SLICE_00001,2,ALGO_SLICE,ALGO_001,,3809,REC_00000010,0,Buy,2025-08-12T09:00:18.120000,FILLED,ASML.AS,URGENT
VWAP,650.0909860677576,,C20241216_PROD,ALGO_UPDATE,3809,650.0768791155718,ALGO_001,1,ALGO_PARENT,CLIENT_001,0,2000000,REC_00000011,1996191,Buy,2025-08-12T09:00:18.125000,WORKING,ASML.AS,URGENT
,650.0909860677576,Wellington Management,C20241216_PROD,CLIENT_UPDATE,3809,650.0768791155718,CLIENT_001,0,CLIENT,,,2000000,REC_00000012,1996191,Buy,2025-08-12T09:00:18.130000,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.0911553113381,SLICE_00002,2,ALGO_SLICE,ALGO_001,,2468,REC_00000013,2468,Buy,2025-08-12T09:01:24,PENDING,ASML.AS,URGENT
,650.1043303108537,,C20241216_PROD,SLICE_UPDATE,822,650.0911553113381,SLICE_00002,2,ALGO_SLICE,ALGO_001,,2468,REC_00000014,1646,Buy,2025-08-12T09:01:24.020000,PARTIAL,ASML.AS,URGENT
VWAP,650.0933546637034,,C20241216_PROD,ALGO_UPDATE,4631,650.0911553113381,ALGO_001,1,ALGO_PARENT,CLIENT_001,3.3,2000000,REC_00000015,1995369,Buy,2025-08-12T09:01:24.025000,WORKING,ASML.AS,URGENT
,650.0933546637034,Wellington Management,C20241216_PROD,CLIENT_UPDATE,4631,650.0911553113381,CLIENT_001,0,CLIENT,,,2000000,REC_00000016,1995369,Buy,2025-08-12T09:01:24.030000,WORKING,ASML.AS,
,650.1106245109412,,C20241216_PROD,SLICE_UPDATE,1645,650.0911553113381,SLICE_00002,2,ALGO_SLICE,ALGO_001,,2468,REC_00000017,823,Buy,2025-08-12T09:01:24.070000,PARTIAL,ASML.AS,URGENT
VWAP,650.0959606564201,,C20241216_PROD,ALGO_UPDATE,5454,650.0911553113381,ALGO_001,1,ALGO_PARENT,CLIENT_001,6.7,2000000,REC_00000018,1994546,Buy,2025-08-12T09:01:24.075000,WORKING,ASML.AS,URGENT
,650.0959606564201,Wellington Management,C20241216_PROD,CLIENT_UPDATE,5454,650.0911553113381,CLIENT_001,0,CLIENT,,,2000000,REC_00000019,1994546,Buy,2025-08-12T09:01:24.080000,WORKING,ASML.AS,
,650.1104554607163,,C20241216_PROD,SLICE_UPDATE,2468,650.0911553113381,SLICE_00002,2,ALGO_SLICE,ALGO_001,,2468,REC_00000020,0,Buy,2025-08-12T09:01:24.120000,FILLED,ASML.AS,URGENT
VWAP,650.0978611222374,,C20241216_PROD,ALGO_UPDATE,6277,650.0911553113381,ALGO_001,1,ALGO_PARENT,CLIENT_001,7.9,2000000,REC_00000021,1993723,Buy,2025-08-12T09:01:24.125000,WORKING,ASML.AS,URGENT
,650.0978611222374,Wellington Management,C20241216_PROD,CLIENT_UPDATE,6277,650.0911553113381,CLIENT_001,0,CLIENT,,,2000000,REC_00000022,1993723,Buy,2025-08-12T09:01:24.130000,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.1736846364898,SLICE_00003,2,ALGO_SLICE,ALGO_001,,3457,REC_00000023,3457,Buy,2025-08-12T09:02:04,PENDING,ASML.AS,URGENT
,650.184354600942,,C20241216_PROD,SLICE_UPDATE,1152,650.1736846364898,SLICE_00003,2,ALGO_SLICE,ALGO_001,,3457,REC_00000024,2305,Buy,2025-08-12T09:02:04.020000,PARTIAL,ASML.AS,URGENT
VWAP,650.1112734909907,,C20241216_PROD,ALGO_UPDATE,7429,650.1736846364898,ALGO_001,1,ALGO_PARENT,CLIENT_001,4.5,2000000,REC_00000025,1992571,Buy,2025-08-12T09:02:04.025000,WORKING,ASML.AS,URGENT
,650.1112734909907,Wellington Management,C20241216_PROD,CLIENT_UPDATE,7429,650.1736846364898,CLIENT_001,0,CLIENT,,,2000000,REC_00000026,1992571,Buy,2025-08-12T09:02:04.030000,WORKING,ASML.AS,
,650.1854904495519,,C20241216_PROD,SLICE_UPDATE,2304,650.1736846364898,SLICE_00003,2,ALGO_SLICE,ALGO_001,,3457,REC_00000027,1153,Buy,2025-08-12T09:02:04.070000,PARTIAL,ASML.AS,URGENT
VWAP,650.1212371241643,,C20241216_PROD,ALGO_UPDATE,8581,650.1736846364898,ALGO_001,1,ALGO_PARENT,CLIENT_001,6.3,2000000,REC_00000028,1991419,Buy,2025-08-12T09:02:04.075000,WORKING,ASML.AS,URGENT
,650.1212371241643,Wellington Management,C20241216_PROD,CLIENT_UPDATE,8581,650.1736846364898,CLIENT_001,0,CLIENT,,,2000000,REC_00000029,1991419,Buy,2025-08-12T09:02:04.080000,WORKING,ASML.AS,
,650.1891194866258,,C20241216_PROD,SLICE_UPDATE,3457,650.1736846364898,SLICE_00003,2,ALGO_SLICE,ALGO_001,,3457,REC_00000030,0,Buy,2025-08-12T09:02:04.120000,FILLED,ASML.AS,URGENT
VWAP,650.1292778436956,,C20241216_PROD,ALGO_UPDATE,9734,650.1736846364898,ALGO_001,1,ALGO_PARENT,CLIENT_001,3.7,2000000,REC_00000031,1990266,Buy,2025-08-12T09:02:04.125000,WORKING,ASML.AS,URGENT
,650.1292778436956,Wellington Management,C20241216_PROD,CLIENT_UPDATE,9734,650.1736846364898,CLIENT_001,0,CLIENT,,,2000000,REC_00000032,1990266,Buy,2025-08-12T09:02:04.130000,WORKING,ASML.AS,
,0.0,,C20241216_PROD,NEW,0,650.1585755932158,SLICE_00004,2,ALGO_SLICE,ALGO_001,,3337,REC_00000033,3337,Buy,2025-08-12T09:03:07,PENDING,ASML.AS,URGENT
,650.1721499254718,,C20241216_PROD,SLICE_UPDATE,1112,650.1585755932158,SLICE_00004,2,ALGO_SLICE,ALGO_001,,3337,REC_00000034,2225,Buy,2025-08-12T09:03:07.020000,PARTIAL,ASML.AS,URGENT
VWAP,650.133673358626,,C20241216_PROD,ALGO_UPDATE,10846,650.1585755932158,ALGO_001,1,ALGO_PARENT,CLIENT_001,1.9,2000000,REC_00000035,1989154,Buy,2025-08-12T09:03:07.025000,WORKING,ASML.AS,URGENT
