PlatformOrderId,CashAccount,Status,BuySell,Quantity,Price,TradeDate
0073456789123_AAPL,HOLDING,Active,Buy,100,150.50,2024-01-15
0073456789123_MSFT,HOLDING,Active,Buy,50,380.25,2024-01-15
0073456789123_AAPL,CLIENT001,Active,Sell,100,151.00,2024-01-15
0073456789124_GOOGL,UNKNOWN,Active,Buy,200,140.75,2024-01-16
0073456789124_GOOGL,UNKNOWN,Active,Sell,50,141.00,2024-01-16
0073456789125_TSLA,HOLDING,Active,Buy,300,200.00,2024-01-17
0073456789125_TSLA,HOLDING,Void,Sell,100,201.00,2024-01-17
0073456789126_NVDA,CLIENT002,Active,Buy,150,600.00,2024-01-18
0073456789126_NVDA,CLIENT002,Active,Sell,150,605.00,2024-01-18
0073456789127_AMD,HOLDING,Active,Buy,500,120.00,2024-01-19
0073456789128_INTC,UNKNOWN,Active,Buy,1000,45.00,2024-01-20
0073456789129_AAPL,HOLDING,Active,Buy,200,152.00,2024-01-21
0073456789129_MSFT,CLIENT003,Active,Buy,100,385.00,2024-01-21
0073456789130_META,HOLDING,Active,Buy,75,400.00,2024-01-22
0073456789130_META,HOLDING,Active,Buy,25,398.00,2024-01-22
0073456789131_AMZN,CLIENT004,Active,Buy,50,155.00,2024-01-23
0073456789131_AMZN,CLIENT004,Active,Sell,50,156.00,2024-01-23
0073456789132_SPY,HOLDING,Active,Buy,1000,450.00,2024-01-24
0073456789132_SPY,UNKNOWN,Active,Sell,500,451.00,2024-01-24
0073456789133_QQQ,HOLDING,Active,Buy,750,380.00,2024-01-25
