position,name,type,mean_distance_au,eccentricity,inclination_deg,axial_tilt_deg,albedo,atmosphere
0,Sun,Star,0.0,0.0,0.0,7.25,0.0,Hydrogen/Helium
1,Mercury,Terrestrial,0.387,0.2056,7.0,0.034,0.142,None
2,Venus,Terrestrial,0.723,0.0067,3.4,177.4,0.689,CO2
3,Earth,Terrestrial,1.000,0.0167,0.0,23.4,0.306,N2/O2
4,Mars,Terrestrial,1.524,0.0935,1.9,25.2,0.170,CO2
5,Ceres,Dwarf Planet,2.77,0.0758,10.6,4.0,0.090,None
6,Jupiter,Gas Giant,5.204,0.0489,1.3,3.1,0.343,H2/He
7,Saturn,Gas Giant,9.582,0.0565,2.5,26.7,0.342,H2/He
8,Uranus,Ice Giant,19.201,0.0457,0.8,97.8,0.300,H2/He/CH4
9,Neptune,Ice Giant,30.047,0.0113,1.8,28.3,0.290,H2/He/CH4
10,Pluto,Dwarf Planet,39.482,0.2488,17.2,122.5,0.72,N2/CH4/CO
11,Eris,Dwarf Planet,67.668,0.4417,44.2,78.0,0.96,CH4
12,Moon,Moon,1.000,0.0549,5.1,6.7,0.11,None
