BuildTypeId,Number,State,Status,StatusText,Branch,Agent,TriggeredBy,Comment,Project,Job,JobId,Started,Finished,DurationSec
Srv_Deploy_0,1000,finished,FAILURE,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4000,27/08/2026 09:00:00,27/08/2026 09:10:06,606
Srv_Deploy_1,1001,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4001,27/08/2026 09:02:17,27/08/2026 09:05:46,209
Srv_Deploy_2,1002,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4002,27/08/2026 09:04:34,27/08/2026 09:05:53,79
Srv_Deploy_3,1003,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4003,27/08/2026 09:06:51,27/08/2026 09:20:31,820
Srv_Deploy_4,1004,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4004,27/08/2026 09:09:08,27/08/2026 09:17:42,514
Srv_Deploy_5,1005,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4005,27/08/2026 09:11:25,27/08/2026 09:24:52,807
Srv_Deploy_6,1006,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4006,27/08/2026 09:13:42,27/08/2026 09:23:03,561
Srv_Deploy_0,1007,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4007,27/08/2026 09:15:59,27/08/2026 09:23:03,424
Srv_Deploy_1,1008,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4008,27/08/2026 09:18:16,27/08/2026 09:31:14,778
Srv_Deploy_2,1009,finished,FAILURE,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4009,27/08/2026 09:20:33,27/08/2026 09:24:00,207
Srv_Deploy_3,1010,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4010,27/08/2026 09:22:50,27/08/2026 09:27:08,258
Srv_Deploy_4,1011,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4011,27/08/2026 09:25:07,27/08/2026 09:37:50,763
Srv_Deploy_5,1012,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4012,27/08/2026 09:27:24,27/08/2026 09:29:49,145
Srv_Deploy_6,1013,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4013,27/08/2026 09:29:41,27/08/2026 09:34:51,310
Srv_Deploy_0,1014,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4014,27/08/2026 09:31:58,27/08/2026 09:44:30,752
Srv_Deploy_1,1015,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4015,27/08/2026 09:34:15,27/08/2026 09:40:14,359
Srv_Deploy_2,1016,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4016,27/08/2026 09:36:32,27/08/2026 09:49:02,750
