PlatformOrderId,FieldName,Prod-Value,Test-Value,Difference
MKG-THYT-IK-0-0,Price,100.50,100.75,0.25
MKG-THYT-IK-0-0,Quantity,1000,1000,0
MKG-THYT-IK-0-0,SettlementDate,2024-03-15,2024-03-17,2
ABC-DEAL-XY-1-0,Price,250.00,250.00,0
ABC-DEAL-XY-1-0,Account,ACC-12345,ACC-12346,1
ABC-DEAL-XY-1-0,SettlementDate,2024-03-20,2024-03-22,2
ABC-DEAL-XY-1-0,TradeDate,2024-03-18,2024-03-18,0
FWD-PROD-ZZ-2-0,Price,75.25,74.75,-0.50
FWD-PROD-ZZ-2-0,Quantity,500,550,50
FWD-PROD-ZZ-2-0,SettlementDate,2024-04-01,2024-04-05,4
FWD-PROD-ZZ-2-0,Confirmed,true,false,-1
OPT-MAIN-AA-3-0,Price,1250.50,1250.50,0
OPT-MAIN-AA-3-0,Quantity,750,750,0
OPT-MAIN-AA-3-0,Account,ACC-98765,ACC-98765,0
OPT-MAIN-AA-3-0,SettlementDate,2024-04-10,2024-04-10,0
SWP-LARGE-BB-4-0,Price,890.00,890.00,0
SWP-LARGE-BB-4-0,Quantity,3000,3000,0
SWP-LARGE-BB-4-0,SettlementDate,2024-05-01,2024-05-03,2
SWP-LARGE-BB-4-0,Counterparty,JP-MORGAN,JPMORGAN,1
FUT-GOLD-CC-5-0,Price,325.50,325.75,0.25
FUT-GOLD-CC-5-0,TradeDate,2024-05-10,2024-05-10,0
FUT-GOLD-CC-5-0,SettlementDate,2024-05-12,2024-05-15,3
FUT-GOLD-CC-5-0,Exchange,NYSE,NASDAQ,1
OPT-CALL-DD-6-0,Price,42.10,42.10,0
OPT-CALL-DD-6-0,Quantity,5000,4950,-50
OPT-CALL-DD-6-0,SettlementDate,2024-06-01,2024-06-01,0
OPT-CALL-DD-6-0,TradeTime,09:30:00,09:30:15,15
SWP-CREDIT-EE-7-0,Price,675.25,675.25,0
SWP-CREDIT-EE-7-0,SettlementDate,2024-06-10,2024-06-14,4
SWP-CREDIT-EE-7-0,Account,ACC-55555,ACC-55556,1
SWP-CREDIT-EE-7-0,IsActive,true,true,0
SWP-CREDIT-EE-7-0,Commission,5.00,5.50,0.50
