PlatformOrderId,FieldName,Prod-Value,Test-Value,Difference
ORD-2024-001,Price,100.50,100.75,0.25
ORD-2024-001,Quantity,1000,1000,0
ORD-2024-001,SettlementDate,2024-03-15,2024-03-17,2
ORD-2024-002,Price,250.00,250.00,0
ORD-2024-002,Account,ACC-12345,ACC-12346,1
ORD-2024-002,SettlementDate,2024-03-20,2024-03-22,2
ORD-2024-002,TradeDate,2024-03-18,2024-03-18,0
ORD-2024-003,Price,75.25,74.75,-0.50
ORD-2024-003,Quantity,500,550,50
ORD-2024-003,SettlementDate,2024-04-01,2024-04-05,4
ORD-2024-003,Confirmed,true,false,-1
ORD-2024-004,Price,1250.50,1250.50,0
ORD-2024-004,Quantity,200,200,0
ORD-2024-004,Account,ACC-98765,ACC-98765,0
ORD-2024-004,SettlementDate,2024-04-10,2024-04-10,0
ORD-2024-005,Price,55.75,56.00,0.25
ORD-2024-005,Commission,2.50,2.75,0.25
ORD-2024-005,SettlementDate,2024-04-15,2024-04-18,3
ORD-2024-005,Currency,USD,EUR,1
ORD-2024-006,Price,890.00,890.00,0
ORD-2024-006,Quantity,1500,1500,0
ORD-2024-006,SettlementDate,2024-05-01,2024-05-03,2
ORD-2024-006,Counterparty,JP-MORGAN,JPMORGAN,1
ORD-2024-007,Price,325.50,325.75,0.25
ORD-2024-007,TradeDate,2024-05-10,2024-05-10,0
ORD-2024-007,SettlementDate,2024-05-12,2024-05-15,3
ORD-2024-007,Exchange,NYSE,NASDAQ,1
ORD-2024-008,Price,42.10,42.10,0
ORD-2024-008,Quantity,5000,4950,-50
ORD-2024-008,SettlementDate,2024-06-01,2024-06-01,0
ORD-2024-008,TradeTime,09:30:00,09:30:15,15
ORD-2024-009,Price,675.25,675.25,0
ORD-2024-009,SettlementDate,2024-06-10,2024-06-14,4
ORD-2024-009,Account,ACC-55555,ACC-55556,1
ORD-2024-009,IsActive,true,true,0
ORD-2024-010,Price,99.99,100.01,0.02
ORD-2024-010,Quantity,750,750,0
ORD-2024-010,SettlementDate,2024-07-01,2024-07-05,4
ORD-2024-010,TradeDate,2024-06-28,2024-06-28,0
ORD-2024-010,Commission,5.00,5.50,0.50
