DealType,SignedQuantity,PlatformOrderId,DealId,Environment,FieldName,Prod-Value,Test-Value,Difference
Swap,1000,MKG-THYT-IK-0-0,MKG-THYT-IK-0-0,PROD,Price,100.50,100.75,0.25
Swap,1000,TT202509162008|MKG-THYT-IK-0-0,TT202509162008,UAT,Price,100.75,100.75,0
Swap,1000,TT202509162009|MKG-THYT-IK-0-0,TT202509162009,UAT,Price,100.75,100.75,0
Swap,1000,MKG-THYT-IK-0-0,MKG-THYT-IK-0-0,PROD,SettlementDate,2024-03-15,2024-03-17,2
Swap,1000,TT202509162008|MKG-THYT-IK-0-0,TT202509162008,UAT,SettlementDate,2024-03-17,2024-03-17,0
Swap,2000,ABC-DEAL-XY-1-0,ABC-DEAL-XY-1-0,PROD,Price,250.00,250.00,0
Swap,2000,TT202509162010|ABC-DEAL-XY-1-0,TT202509162010,UAT,Price,250.00,250.00,0
Swap,2000,ABC-DEAL-XY-1-0,ABC-DEAL-XY-1-0,PROD,Account,ACC-12345,ACC-12346,1
Swap,2000,ABC-DEAL-XY-1-0,ABC-DEAL-XY-1-0,PROD,SettlementDate,2024-03-20,2024-03-22,2
Forward,500,FWD-PROD-ZZ-2-0,FWD-PROD-ZZ-2-0,PROD,Price,75.25,74.75,-0.50
Forward,500,TT202509162011|FWD-PROD-ZZ-2-0,TT202509162011,UAT,Price,74.75,74.75,0
Forward,500,TT202509162012|FWD-PROD-ZZ-2-0,TT202509162012,UAT,Price,74.75,74.75,0
Forward,500,FWD-PROD-ZZ-2-0,FWD-PROD-ZZ-2-0,PROD,SettlementDate,2024-04-01,2024-04-05,4
Forward,500,FWD-PROD-ZZ-2-0,FWD-PROD-ZZ-2-0,PROD,Quantity,500,550,50
Option,750,OPT-MAIN-AA-3-0,OPT-MAIN-AA-3-0,PROD,Price,1250.50,1250.50,0
Option,750,TT202509162014|OPT-MAIN-AA-3-0,TT202509162014,UAT,Price,1250.50,1250.50,0
Option,750,OPT-MAIN-AA-3-0,OPT-MAIN-AA-3-0,PROD,SettlementDate,2024-04-10,2024-04-10,0
Option,750,OPT-MAIN-AA-3-0,OPT-MAIN-AA-3-0,PROD,Account,ACC-98765,ACC-98765,0
Swap,3000,SWP-LARGE-BB-4-0,SWP-LARGE-BB-4-0,PROD,Price,890.00,890.00,0
Swap,3000,TT202509162015|SWP-LARGE-BB-4-0,TT202509162015,UAT,Price,890.00,890.00,0
Swap,3000,TT202509162016|SWP-LARGE-BB-4-0,TT202509162016,UAT,Price,890.00,890.00,0
Swap,3000,SWP-LARGE-BB-4-0,SWP-LARGE-BB-4-0,PROD,SettlementDate,2024-05-01,2024-05-03,2
Swap,3000,SWP-LARGE-BB-4-0,SWP-LARGE-BB-4-0,PROD,Counterparty,JP-MORGAN,JPMORGAN,1
Future,1500,FUT-GOLD-CC-5-0,FUT-GOLD-CC-5-0,PROD,Price,325.50,325.75,0.25
Future,1500,TT202509162017|FUT-GOLD-CC-5-0,TT202509162017,UAT,Price,325.75,325.75,0
Future,1500,FUT-GOLD-CC-5-0,FUT-GOLD-CC-5-0,PROD,TradeDate,2024-05-10,2024-05-10,0
Future,1500,FUT-GOLD-CC-5-0,FUT-GOLD-CC-5-0,PROD,SettlementDate,2024-05-12,2024-05-15,3
Future,1500,FUT-GOLD-CC-5-0,FUT-GOLD-CC-5-0,PROD,Exchange,NYSE,NASDAQ,1
Option,5000,OPT-CALL-DD-6-0,OPT-CALL-DD-6-0,PROD,Price,42.10,42.10,0
Option,5000,TT202509162018|OPT-CALL-DD-6-0,TT202509162018,UAT,Price,42.10,42.10,0
Option,5000,OPT-CALL-DD-6-0,OPT-CALL-DD-6-0,PROD,Quantity,5000,4950,-50
Option,5000,OPT-CALL-DD-6-0,OPT-CALL-DD-6-0,PROD,SettlementDate,2024-06-01,2024-06-01,0
Option,5000,OPT-CALL-DD-6-0,OPT-CALL-DD-6-0,PROD,TradeTime,09:30:00,09:30:15,15
Swap,750,SWP-CREDIT-EE-7-0,SWP-CREDIT-EE-7-0,PROD,Price,675.25,675.25,0
Swap,750,TT202509162019|SWP-CREDIT-EE-7-0,TT202509162019,UAT,Price,675.25,675.25,0
Swap,750,SWP-CREDIT-EE-7-0,SWP-CREDIT-EE-7-0,PROD,SettlementDate,2024-06-10,2024-06-14,4
Swap,750,SWP-CREDIT-EE-7-0,SWP-CREDIT-EE-7-0,PROD,Account,ACC-55555,ACC-55556,1
Swap,750,SWP-CREDIT-EE-7-0,SWP-CREDIT-EE-7-0,PROD,IsActive,true,true,0
