symbol,trade_time,price,volume
AAPL,2024-01-15 09:30:00.123,185.50,1000
AAPL,2024-01-15 09:30:01.456,185.48,500
AAPL,2024-01-15 09:30:02.789,185.52,1500
AAPL,2024-01-15 09:30:05.234,185.55,2000
AAPL,2024-01-15 09:30:08.567,185.53,800
AAPL,2024-01-15 09:30:12.890,185.58,1200
AAPL,2024-01-15 09:30:15.123,185.60,1800
AAPL,2024-01-15 09:30:18.456,185.57,600
AAPL,2024-01-15 09:30:22.789,185.62,2200
AAPL,2024-01-15 09:30:25.012,185.65,1100
AAPL,2024-01-15 09:30:28.345,185.63,900
AAPL,2024-01-15 09:30:31.678,185.68,1600
AAPL,2024-01-15 09:30:35.901,185.70,2500
AAPL,2024-01-15 09:30:38.234,185.67,700
AAPL,2024-01-15 09:30:42.567,185.72,1900
AAPL,2024-01-15 09:30:45.890,185.75,1300
AAPL,2024-01-15 09:30:49.123,185.73,400
AAPL,2024-01-15 09:30:52.456,185.78,2100
AAPL,2024-01-15 09:30:55.789,185.80,1700
AAPL,2024-01-15 09:30:58.012,185.77,800
AAPL,2024-01-15 09:31:02.345,185.82,2300
AAPL,2024-01-15 09:31:05.678,185.85,1400
AAPL,2024-01-15 09:31:08.901,185.83,600
AAPL,2024-01-15 09:31:12.234,185.88,2000
AAPL,2024-01-15 09:31:15.567,185.90,1500
AAPL,2024-01-15 09:31:18.890,185.87,900
AAPL,2024-01-15 09:31:22.123,185.92,2400
AAPL,2024-01-15 09:31:25.456,185.95,1200
AAPL,2024-01-15 09:31:28.789,185.93,500
AAPL,2024-01-15 09:31:32.012,185.98,2600
AAPL,2024-01-15 09:31:35.345,186.00,1800
AAPL,2024-01-15 09:31:38.678,185.97,700
AAPL,2024-01-15 09:31:42.901,186.02,2100
AAPL,2024-01-15 09:31:45.234,186.05,1600
AAPL,2024-01-15 09:31:48.567,186.03,400
AAPL,2024-01-15 09:31:52.890,186.08,2500
AAPL,2024-01-15 09:31:55.123,186.10,1300
AAPL,2024-01-15 09:31:58.456,186.07,800
AAPL,2024-01-15 09:32:02.789,186.12,2200
AAPL,2024-01-15 09:32:05.012,186.15,1900
AAPL,2024-01-15 09:32:08.345,186.13,600
AAPL,2024-01-15 09:32:12.678,186.18,2700
AAPL,2024-01-15 09:32:15.901,186.20,1100
AAPL,2024-01-15 09:32:18.234,186.17,900
AAPL,2024-01-15 09:32:22.567,186.22,2300
AAPL,2024-01-15 09:32:25.890,186.25,1700
AAPL,2024-01-15 09:32:28.123,186.23,500
AAPL,2024-01-15 09:32:32.456,186.28,2800
AAPL,2024-01-15 09:32:35.789,186.30,1400
AAPL,2024-01-15 09:32:38.012,186.27,700
AAPL,2024-01-15 09:32:42.345,186.32,2400
AAPL,2024-01-15 09:32:45.678,186.35,2000
AAPL,2024-01-15 09:32:48.901,186.33,300
AAPL,2024-01-15 09:32:52.234,186.38,2600
AAPL,2024-01-15 09:32:55.567,186.40,1500
AAPL,2024-01-15 09:32:58.890,186.37,1000
AAPL,2024-01-15 09:33:02.123,186.42,2900
AAPL,2024-01-15 09:33:05.456,186.45,1200
AAPL,2024-01-15 09:33:08.789,186.43,600
AAPL,2024-01-15 09:33:12.012,186.48,2100
AAPL,2024-01-15 09:33:15.345,186.50,1800
AAPL,2024-01-15 09:33:18.678,186.47,400
AAPL,2024-01-15 09:33:22.901,186.52,2500
AAPL,2024-01-15 09:33:25.234,186.55,1600
AAPL,2024-01-15 09:33:28.567,186.53,800
AAPL,2024-01-15 09:33:32.890,186.58,3000
AAPL,2024-01-15 09:33:35.123,186.60,1300
AAPL,2024-01-15 09:33:38.456,186.57,900
AAPL,2024-01-15 09:33:42.789,186.62,2300
AAPL,2024-01-15 09:33:45.012,186.65,1900
AAPL,2024-01-15 09:33:48.345,186.63,500
AAPL,2024-01-15 09:33:52.678,186.68,2700
AAPL,2024-01-15 09:33:55.901,186.70,1100
AAPL,2024-01-15 09:33:58.234,186.67,700
AAPL,2024-01-15 09:34:02.567,186.72,3100
AAPL,2024-01-15 09:34:05.890,186.75,1700
AAPL,2024-01-15 09:34:08.123,186.73,600
AAPL,2024-01-15 09:34:12.456,186.78,2400
AAPL,2024-01-15 09:34:15.789,186.80,2000
AAPL,2024-01-15 09:34:18.012,186.77,400
AAPL,2024-01-15 09:34:22.345,186.82,2800
AAPL,2024-01-15 09:34:25.678,186.85,1400
AAPL,2024-01-15 09:34:28.901,186.83,1000
AAPL,2024-01-15 09:34:32.234,186.88,3200
AAPL,2024-01-15 09:34:35.567,186.90,1500
AAPL,2024-01-15 09:34:38.890,186.87,800
AAPL,2024-01-15 09:34:42.123,186.92,2500
AAPL,2024-01-15 09:34:45.456,186.95,2100
AAPL,2024-01-15 09:34:48.789,186.93,300
AAPL,2024-01-15 09:34:52.012,186.98,2900
AAPL,2024-01-15 09:34:55.345,187.00,1200
AAPL,2024-01-15 09:34:58.678,186.97,900
