accruedInterest,allocationStatus,book,clearingHouse,comments,commission,confirmationStatus,counterparty,counterpartyCountry,counterpartyId,counterpartyType,createdDate,currency,cusip,dV01,dealId,delta,desk,duration,exchange,externalOrderId,fees,gamma,instrumentId,instrumentName,instrumentType,isElectronic,isin,lastModifiedDate,maturityDate,notional,pV01,parentOrderId,platformOrderId,portfolio,price,prime,productType,quantity,settlementAmount,settlementDate,settlementStatus,side,status,strategy,ticker,tradeDate,trader,traderId,valueDate,vega,venue,yield
,Partial,Equity Trading,cme,,2016.87,Confirmed,Wells Fargo,US,CP0006,Broker,2025-06-11T17:47:15,GBP,,,DEAL00008608,,Flow Trading,,NYSE,EXT82113562,814.59,,INST009324,GOOGL FX Spot,FX Spot,false,US9181103717,2025-06-12T01:47:15,2034-09-27,8368039.36,,,P00008608,EquityTrading-4,4094.1861,,FX Spot,2043,8370870.82,2025-06-14,Settled,buy,completed,Hedging,GOOGL,2025-06-11,Trader034,T0041,2025-06-14,,Electronic,
,Allocated,Equity Trading,dtcc,,2111.54,Confirmed,Jefferies,FR,CP0095,Broker,2025-07-23T17:47:15,CHF,511941986,,DEAL00007467,,Structured,,NYSE,EXT17663750,179.42,,INST006783,XOM Equity,Equity,true,US9911363900,2025-07-24T02:47:15,,2417963.86,,,P00007467,EquityTrading-3,3337.7926,Mizuho,Equity,724,2420254.82,2025-07-28,Unsettled,buy,pending,Hedging,XOM,2025-07-23,Trader032,T0036,2025-07-28,,Electronic,
,Allocated,Equity Trading,jscc,,2167.92,Rejected,RBC Capital,CH,CP0019,Institution,2025-06-01T17:47:15,GBP,280475286,,DEAL00008138,-0.0441,Arbitrage,,NYSE,EXT95814549,62.27,0.059785,INST009018,SHEL Option,Option,true,US3165950931,2025-06-02T06:47:15,,3296304.72,,,P00008138,EquityTrading-7,3820.6229,,Option,862,3298534.91,2025-06-03,Unsettled,buy,failed,Mean Reversion,SHEL,2025-06-01,Trader010,T0010,2025-06-03,30.95,Electronic,
,Unallocated,Equity Trading,cme,,2196.29,Rejected,RBC Capital,FR,CP0055,Broker,2025-08-02T17:47:15,JPY,,4721.72,DEAL00008945,,Market Making,,NYSE,EXT37099415,190.82,,INST000758,JPM Swap,Swap,true,US1996922059,2025-08-03T12:47:15,,3568182.74,5193.89,,P00008945,EquityTrading-7,4960.7256,Wells Fargo,Swap,719,3570569.85,2025-08-06,Pending,sell,cancelled,Arbitrage,JPM,2025-08-02,Trader001,T0033,2025-08-06,,Electronic,
,Partial,Equity Trading,eurex,,2287.19,Confirmed,Citigroup,DE,CP0074,Broker,2025-06-24T17:47:15,AUD,631237893,,DEAL00003805,,Delta One,,NYSE,EXT28618361,52.26,,INST002583,NVDA Commodity,Commodity,true,US7207875720,2025-06-25T17:47:15,,1173587.82,,,P00003805,EquityTrading-6,1978.8992,Nomura,Commodity,593,1175927.27,2025-06-26,Settled,buy,completed,Arbitrage,NVDA,2025-06-24,Trader039,T0041,2025-06-26,,Voice,
,Partial,Equity Trading,lch,,2330.59,Pending,Morgan Stanley,DE,CP0059,Broker,2025-07-09T17:47:15,USD,318142235,,DEAL00009517,,Exotics,,NYSE,,62.3,,INST008822,TSLA Forward,Forward,true,US9473246121,2025-07-10T04:47:15,,4364850.19,,,P00009517,EquityTrading-5,4175.0042,UBS,Forward,1045,4367243.08,2025-07-10,Failed,sell,pending,Momentum,TSLA,2025-07-09,Trader049,T0043,2025-07-10,,Electronic,
,Allocated,Equity Trading,eurex,,2350.99,Unconfirmed,HSBC,CH,CP0071,Institution,2025-07-29T17:47:15,CHF,,,DEAL00007323,,Electronic,,NYSE,EXT14260282,58.52,,INST008520,MSFT Forward,Forward,true,US7837735434,2025-07-30T13:47:15,,1193591.45,,,P00007323,EquityTrading-7,4420.4694,,Forward,270,1196000.96,2025-07-31,Unsettled,buy,cancelled,Directional,MSFT,2025-07-29,Trader007,T0029,2025-07-31,,Electronic,
,Pending,Equity Trading,ice,,2360.09,Pending,Citigroup,AU,CP0079,Institution,2025-06-12T17:47:15,CHF,,,DEAL00007859,,Market Making,,NYSE,EXT33428915,372.01,,INST000411,C Future,Future,false,US6169940022,2025-06-12T19:47:15,,3889137.01,,PARENT000176,P00007859,EquityTrading-8,4134.3726,,Future,940,3891869.11,2025-06-17,Unsettled,sell,failed,Event Driven,C,2025-06-12,Trader036,T0019,2025-06-17,,Electronic,
6795.91,Unallocated,Equity Trading,jscc,,2361.71,Confirmed,RBC Capital,FR,CP0078,Broker,2025-07-15T17:47:15,USD,,9974.4,DEAL00009263,,Prop Trading,16.21,NASDAQ,EXT85282176,117.03,,INST008883,GS Bond,Bond,true,,2025-07-16T12:47:15,,4287755.03,10971.84,,P00009263,EquityTrading-3,4199.3178,,Bond,1021,4290233.77,2025-07-18,Pending,buy,cancelled,Mean Reversion,GS,2025-07-15,Trader042,T0039,2025-07-18,,Electronic,0.0935
,Unallocated,Equity Trading,eurex,,2458.37,Rejected,Barclays,DE,CP0020,Institution,2025-06-14T17:47:15,CAD,,,DEAL00008860,,Prop Trading,,NASDAQ,,249.76,,INST000263,TTE Index,Index,true,,2025-06-15T01:47:15,,4209138.63,,,P00008860,EquityTrading-1,2668.4912,Morgan Stanley,Index,1577,4211846.76,2025-06-17,Failed,buy,partial,Mean Reversion,TTE,2025-06-14,Trader003,T0026,2025-06-17,,Voice,
,Pending,Equity Trading,dtcc,,2553.01,Unconfirmed,Jefferies,DE,CP0024,Broker,2025-06-14T17:47:15,CHF,,,DEAL00009063,,Arbitrage,,NASDAQ,EXT43388041,28.55,,INST000632,SHEL Forward,Forward,false,,2025-06-15T06:47:15,,1895234.67,,,P00009063,EquityTrading-7,4945.868,,Forward,383,1897816.23,2025-06-15,Settled,sell,pending,Momentum,SHEL,2025-06-14,Trader022,T0041,2025-06-15,,Voice,
,Allocated,Equity Trading,ice,,2587.37,Unconfirmed,Deutsche Bank,DE,CP0030,Institution,2025-06-03T17:47:15,USD,330061437,,DEAL00000632,,Arbitrage,,NASDAQ,EXT09504675,231.56,,INST007442,TTE ETF,ETF,true,,2025-06-04T04:47:15,2035-05-15,3809816.26,,,P00000632,EquityTrading-3,4988.8036,,ETF,763,3812635.19,2025-06-06,Failed,buy,cancelled,Momentum,TTE,2025-06-03,Trader049,T0042,2025-06-06,,Electronic,
,Partial,Equity Trading,lch,,2666.0,Unconfirmed,Nomura,DE,CP0031,Institution,2025-06-12T17:47:15,CHF,,,DEAL00005601,,Delta One,,NASDAQ,EXT57046158,226.88,,INST000414,BP Commodity,Commodity,true,US7394383514,2025-06-12T18:47:15,,5805401.19,,PARENT000543,P00005601,EquityTrading-2,1658.9683,Deutsche Bank,Commodity,3499,5808294.07,2025-06-16,Unsettled,sell,cancelled,Market Making,BP,2025-06-12,Trader041,T0007,2025-06-16,,Voice,
,Allocated,Equity Trading,eurex,,2675.0,Rejected,UBS,DE,CP0077,Institution,2025-06-13T17:47:15,EUR,,,DEAL00002201,,Structured,,NYSE,EXT37848012,216.76,,INST000303,BAC Commodity,Commodity,true,US2113743803,2025-06-14T02:47:15,2033-07-21,4582895.48,,,P00002201,EquityTrading-5,1155.1164,Goldman Sachs,Commodity,3967,4585787.24,2025-06-17,Failed,sell,pending,Market Making,BAC,2025-06-13,Trader004,T0007,2025-06-17,,Electronic,
,Partial,Equity Trading,jscc,,2698.36,Unconfirmed,Morgan Stanley,CH,CP0055,Institution,2025-07-08T17:47:15,CAD,,,DEAL00003045,,Arbitrage,,NYSE,EXT49509829,763.17,,INST005862,AMZN Future,Future,false,US2269000457,2025-07-08T23:47:15,,9103821.48,,,P00003045,EquityTrading-1,4449.7445,,Future,2045,9107283.01,2025-07-12,Settled,buy,cancelled,Mean Reversion,AMZN,2025-07-08,Trader035,T0016,2025-07-12,,Voice,
,Unallocated,Equity Trading,eurex,,2721.77,Confirmed,RBC Capital,CA,CP0042,Institution,2025-07-19T17:47:15,USD,471300844,,DEAL00003963,,Electronic,,NYSE,,156.31,,INST000539,BP Forward,Forward,true,US5478860693,2025-07-20T14:47:15,2028-02-10,2625076.92,,,P00003963,EquityTrading-5,361.8602,,Forward,7254,2627955.0,2025-07-22,Failed,sell,cancelled,Directional,BP,2025-07-19,Trader029,T0016,2025-07-22,,Voice,
,Partial,Equity Trading,jscc,,2764.58,Confirmed,Morgan Stanley,US,CP0067,Broker,2025-07-05T17:47:15,CAD,770458296,,DEAL00000237,,Flow Trading,,NYSE,EXT24284772,149.49,,INST007327,JPM FX Forward,FX Forward,false,,2025-07-05T21:47:15,,7377922.76,,,P00000237,EquityTrading-7,4368.2932,,FX Forward,1688,7380836.83,2025-07-06,Unsettled,buy,cancelled,Market Making,JPM,2025-07-05,Trader020,T0010,2025-07-06,,Voice,
,Pending,Equity Trading,ice,,2776.56,Confirmed,BNP Paribas,JP,CP0019,Institution,2025-06-17T17:47:15,CHF,,,DEAL00009285,,Market Making,,NYSE,,61.0,,INST006520,HSBC ETF,ETF,true,,2025-06-18T10:47:15,2027-05-25,1618512.05,,,P00009285,EquityTrading-4,1424.2149,,ETF,1136,1621349.61,2025-06-20,Pending,buy,pending,Event Driven,HSBC,2025-06-17,Trader040,T0005,2025-06-20,,Electronic,
,Pending,Equity Trading,cme,,2863.17,Unconfirmed,Goldman Sachs,UK,CP0030,Broker,2025-07-22T17:47:15,USD,,,DEAL00007008,0.6918,Electronic,,NYSE,EXT06370942,260.45,0.036549,INST000717,GOOGL Option,Option,false,,2025-07-23T04:47:15,,2966703.8,,,P00007008,EquityTrading-2,2668.4776,,Option,1111,2969827.42,2025-07-24,Pending,buy,cancelled,Market Making,GOOGL,2025-07-22,Trader042,T0038,2025-07-24,4.25,Electronic,
,Unallocated,Equity Trading,eurex,,2886.55,Rejected,JP Morgan,US,CP0007,Institution,2025-07-04T17:47:15,AUD,471710794,8147.02,DEAL00005274,,Market Making,,NYSE,EXT63114162,185.59,,INST003140,MS Swap,Swap,false,US7926077268,2025-07-05T02:47:15,,2246258.16,8961.72,,P00005274,EquityTrading-7,3743.4805,Wells Fargo,Swap,600,2249330.3,2025-07-05,Unsettled,sell,completed,Mean Reversion,MS,2025-07-04,Trader024,T0049,2025-07-05,,Electronic,
,Pending,Equity Trading,lch,,2904.86,Pending,Nomura,FR,CP0077,Broker,2025-06-20T17:47:15,JPY,,,DEAL00007531,,Arbitrage,,NASDAQ,EXT20588619,223.5,,INST003073,META Commodity,Commodity,true,US2850885843,2025-06-20T21:47:15,,2390698.86,,,P00007531,EquityTrading-4,2507.8697,,Commodity,953,2393827.22,2025-06-24,Settled,sell,partial,Directional,META,2025-06-20,Trader007,T0039,2025-06-24,,Voice,
,Allocated,Equity Trading,eurex,,2907.24,Pending,RBC Capital,JP,CP0019,Institution,2025-07-21T17:47:15,AUD,211436594,,DEAL00005131,,Exotics,,NYSE,EXT02862547,150.16,,INST004104,TSLA Index,Index,false,US4183951918,2025-07-22T05:47:15,,3700787.57,,PARENT000135,P00005131,EquityTrading-1,1929.8975,,Index,1917,3703844.97,2025-07-25,Unsettled,buy,failed,Market Making,TSLA,2025-07-21,Trader023,T0005,2025-07-25,,Voice,
,Unallocated,Equity Trading,ice,,3076.07,Unconfirmed,Goldman Sachs,UK,CP0059,Broker,2025-06-16T17:47:15,CAD,,,DEAL00007325,,Prop Trading,,NASDAQ,EXT66212621,189.85,,INST004903,JPM FX Spot,FX Spot,false,,2025-06-17T16:47:15,,2199687.89,,,P00007325,EquityTrading-5,4942.915,HSBC,FX Spot,445,2202953.81,2025-06-18,Unsettled,sell,cancelled,Arbitrage,JPM,2025-06-16,Trader045,T0020,2025-06-18,,Voice,
,Allocated,Equity Trading,lch,,3457.57,Unconfirmed,Credit Suisse,SG,CP0001,Institution,2025-06-22T17:47:15,USD,,,DEAL00000023,,Market Making,,NYSE,,115.17,,INST005140,AAPL Forward,Forward,true,US8939617316,2025-06-23T09:47:15,2030-09-13,1870883.74,,,P00000023,EquityTrading-10,489.6642,UBS,Forward,3820,1874456.48,2025-06-26,Settled,buy,partial,Hedging,AAPL,2025-06-22,Trader009,T0013,2025-06-26,,Electronic,
,Partial,Equity Trading,lch,Trade 7566 - Special handling required,3464.81,Pending,Bank of America,UK,CP0047,Broker,2025-06-04T17:47:15,GBP,,,DEAL00007566,,Electronic,,NYSE,EXT81870357,181.25,,INST000535,MS CDS,CDS,true,US2595713039,2025-06-05T03:47:15,,2670934.36,,,P00007566,EquityTrading-1,231.0488,UBS,CDS,11560,2674580.42,2025-06-07,Pending,buy,partial,Momentum,MS,2025-06-04,Trader047,T0009,2025-06-07,,Voice,
,Allocated,Equity Trading,cme,,3559.64,Rejected,JP Morgan,DE,CP0061,Broker,2025-06-03T17:47:15,CHF,270617613,564.01,DEAL00003698,,Flow Trading,,NYSE,,233.57,,INST000357,UNH Swap,Swap,false,US4483210108,2025-06-03T19:47:15,,7851968.68,620.41,PARENT000407,P00003698,EquityTrading-1,4513.907,Nomura,Swap,1739,7855761.89,2025-06-08,Pending,sell,failed,Event Driven,UNH,2025-06-03,Trader025,T0046,2025-06-08,,Voice,
,Partial,Equity Trading,jscc,,3629.42,Rejected,Citigroup,CH,CP0078,Broker,2025-06-02T17:47:15,AUD,,,DEAL00007938,-0.7121,Electronic,,NYSE,EXT73502154,188.57,0.042774,INST000366,TSLA Option,Option,true,US7517050330,2025-06-02T22:47:15,,2971025.93,,,P00007938,EquityTrading-2,27.4195,,Option,108354,2974843.92,2025-06-07,Pending,buy,completed,Arbitrage,TSLA,2025-06-02,Trader045,T0002,2025-06-07,10.16,Voice,
,Allocated,Equity Trading,jscc,,3670.59,Confirmed,Barclays,DE,CP0017,Broker,2025-07-13T17:47:15,AUD,,,DEAL00004189,,Delta One,,NYSE,EXT73298641,79.54,,INST002367,PFE FX Spot,FX Spot,true,,2025-07-14T02:47:15,,2993359.38,,,P00004189,EquityTrading-1,828.0021,BNP Paribas,FX Spot,3615,2997109.51,2025-07-16,Settled,sell,cancelled,Relative Value,PFE,2025-07-13,Trader037,T0018,2025-07-16,,Voice,
