accruedInterest,allocationStatus,book,clearingHouse,comments,commission,confirmationStatus,counterparty,counterpartyCountry,counterpartyId,counterpartyType,createdDate,currency,cusip,dV01,dealId,delta,desk,duration,exchange,externalOrderId,fees,gamma,instrumentId,instrumentName,instrumentType,isElectronic,isin,lastModifiedDate,maturityDate,notional,pV01,parentOrderId,platformOrderId,portfolio,price,prime,productType,quantity,settlementAmount,settlementDate,settlementStatus,side,status,strategy,ticker,tradeDate,trader,traderId,valueDate,vega,venue,yield
,Allocated,Emerging Markets,dtcc,,4801.16,Pending,Goldman Sachs,CA,CP0100,Institution,2024-09-11T17:24:31,AUD,103013444,,DEAL00000001,,Electronic,,NYSE,,37.64,,INST003153,SHEL Index,Index,True,,2024-09-12T07:24:31,2032-04-27,3420538.79,,PARENT000883,P00000001,EmergingMarkets-3,4569.1475,,Index,748,3425377.59,2024-09-15,Unsettled,buy,failed,Mean Reversion,SHEL,2024-09-11,Trader014,T0020,2024-09-15,,Voice,
4270.53,Partial,Emerging Markets,ice,,1441.39,Unconfirmed,Credit Suisse,HK,CP0038,Institution,2025-06-17T17:24:31,GBP,246703164,3707.02,DEAL00000002,,Prop Trading,6.32,NASDAQ,EXT81898262,341.9,,INST006944,TTE Bond,Bond,True,US4945740654,2025-06-18T10:24:31,2033-10-06,4355704.21,4077.72,,P00000002,EmergingMarkets-4,2540.5055,Jefferies,Bond,1714,4357487.5,2025-06-20,Failed,buy,completed,Hedging,TTE,2025-06-17,Trader046,T0022,2025-06-20,,Electronic,0.0157
,Pending,Emerging Markets,cme,,7307.52,Confirmed,RBC Capital,HK,CP0081,Broker,2025-07-02T17:24:31,CAD,,,DEAL00000003,,Arbitrage,,NYSE,EXT08420259,383.47,,INST008787,TSLA CDS,CDS,True,US9195067878,2025-07-02T20:24:31,2032-03-19,7550123.86,,,P00000003,EmergingMarkets-5,4282.4303,,CDS,1763,7557814.85,2025-07-06,Failed,buy,completed,Hedging,TSLA,2025-07-02,Trader005,T0027,2025-07-06,,Voice,
3575.93,Pending,ETF Trading,jscc,,8310.68,Rejected,Morgan Stanley,US,CP0074,Institution,2025-05-28T17:24:31,USD,512975475,7373.54,DEAL00000004,,Delta One,29.06,NYSE,EXT30471475,556.47,,INST002479,META Bond,Bond,False,US1130608605,2025-05-29T10:24:31,,8139090.99,8110.89,,P00000004,ETFTrading-7,484.7134,,Bond,16791,8147958.14,2025-05-29,Pending,sell,completed,Directional,META,2025-05-28,Trader025,T0044,2025-05-29,,Electronic,0.0848
,Pending,Equity Trading,lch,Trade 5 - Special handling required,1312.92,Unconfirmed,Deutsche Bank,CA,CP0035,Broker,2025-06-25T17:24:31,CHF,,,DEAL00000005,,Prop Trading,,NYSE,EXT99536482,286.85,,INST004565,JNJ FX Forward,FX Forward,True,US9840023756,2025-06-26T11:24:31,2034-08-22,3174892.99,,,P00000005,EquityTrading-10,1450.5256,Credit Suisse,FX Forward,2188,3176492.76,2025-06-26,Failed,buy,failed,Hedging,JNJ,2025-06-25,Trader005,T0043,2025-06-26,,Voice,
,Pending,Credit Trading,eurex,,847.44,Unconfirmed,Credit Suisse,AU,CP0060,Broker,2025-06-04T17:24:31,EUR,887329132,,DEAL00000006,,Electronic,,NYSE,EXT46252606,21.91,,INST002606,C ETF,ETF,False,,2025-06-05T14:24:31,,699977.26,,,P00000006,CreditTrading-5,1352.715,,ETF,517,700846.61,2025-06-07,Pending,sell,cancelled,Market Making,C,2025-06-04,Trader021,T0012,2025-06-07,,Voice,
6675.28,Partial,Bond Trading,ice,,12117.16,Pending,Wells Fargo,JP,CP0041,Broker,2025-05-22T17:24:31,CHF,639600627,476.67,DEAL00000007,,Arbitrage,10.4,NYSE,,218.11,,INST003645,TSLA Bond,Bond,True,US8313098823,2025-05-23T10:24:31,2029-11-15,7171069.92,524.34,,P00000007,BondTrading-7,203.9137,,Bond,35167,7183405.19,2025-05-23,Failed,sell,completed,Event Driven,TSLA,2025-05-22,Trader040,T0034,2025-05-23,,Electronic,0.0725
,Unallocated,Commodities,dtcc,,14202.96,Rejected,Wells Fargo,JP,CP0006,Broker,2025-06-17T17:24:31,JPY,,,DEAL00000008,,Delta One,,NYSE,EXT94949522,757.1,,INST007671,MS Index,Index,True,,2025-06-18T04:24:31,,8336148.06,,,P00000008,Commodities-5,4601.7497,,Index,1811,8351108.12,2025-06-19,Unsettled,sell,completed,Event Driven,MS,2025-06-17,Trader031,T0050,2025-06-19,,Voice,
,Pending,Bond Trading,dtcc,,1384.49,Rejected,BNP Paribas,JP,CP0066,Broker,2024-11-02T17:24:31,CHF,,,DEAL00000009,,Delta One,,NYSE,EXT87359191,60.02,,INST009518,BP FX Spot,FX Spot,False,US9965326644,2024-11-03T17:24:31,,975076.44,,,P00000009,BondTrading-7,1415.8894,BNP Paribas,FX Spot,688,976520.95,2024-11-07,Pending,sell,failed,Hedging,BP,2024-11-02,Trader024,T0005,2024-11-07,,Electronic,
,Unallocated,ETF Trading,jscc,Trade 10 - Special handling required,8495.52,Rejected,JP Morgan,DE,CP0100,Broker,2024-08-31T17:24:31,CHF,609323272,5674.4,DEAL00000010,,Structured,,NYSE,EXT55255736,437.51,,INST005238,JNJ Swap,Swap,True,US9672276733,2024-09-01T16:24:31,,5477311.05,6241.84,PARENT000446,P00000010,ETFTrading-6,1135.8362,Nomura,Swap,4822,5486244.08,2024-09-05,Failed,buy,cancelled,Directional,JNJ,2024-08-31,Trader021,T0003,2024-09-05,,Electronic,
,Unallocated,Commodities,lch,,927.7,Pending,RBC Capital,US,CP0055,Institution,2024-09-27T17:24:31,JPY,716635496,,DEAL00000011,,Arbitrage,,NYSE,EXT56214333,42.91,,INST001569,MRK FX Spot,FX Spot,True,US4540100028,2024-09-27T18:24:31,,501125.88,,PARENT000423,P00000011,Commodities-8,224.4652,,FX Spot,2232,502096.49,2024-10-02,Pending,sell,cancelled,Mean Reversion,MRK,2024-09-27,Trader002,T0038,2024-10-02,,Voice,
6132.68,Unallocated,Credit Trading,dtcc,,6253.8,Unconfirmed,Citigroup,FR,CP0070,Institution,2025-05-29T17:24:31,CHF,397597709,9384.63,DEAL00000012,,Flow Trading,6.99,NYSE,EXT92237922,99.41,,INST003022,CVX Bond,Bond,False,US6928771402,2025-05-30T17:24:31,,3587883.59,10323.09,,P00000012,CreditTrading-5,3086.4731,,Bond,1162,3594236.8,2025-06-01,Unsettled,sell,failed,Hedging,CVX,2025-05-29,Trader009,T0028,2025-06-01,,Electronic,0.0124
,Allocated,Emerging Markets,ice,,4600.99,Unconfirmed,JP Morgan,FR,CP0073,Institution,2025-05-03T17:24:31,USD,333115141,,DEAL00000013,,Market Making,,NYSE,,719.22,,INST000495,AAPL CDS,CDS,False,US1449356177,2025-05-03T19:24:31,,9048390.38,,,P00000013,EmergingMarkets-2,4014.4888,UBS,CDS,2253,9053710.59,2025-05-07,Settled,buy,pending,Relative Value,AAPL,2025-05-03,Trader011,T0029,2025-05-07,,Voice,
,Unallocated,Futures Trading,dtcc,,2189.68,Unconfirmed,Wells Fargo,CA,CP0098,Institution,2025-03-10T17:24:31,GBP,,,DEAL00000014,,Market Making,,NYSE,EXT25739961,480.01,,INST005471,MS ETF,ETF,False,US5435480530,2025-03-11T08:24:31,2030-04-23,5812063.3,,PARENT000487,P00000014,FuturesTrading-2,4210.3537,Mizuho,ETF,1380,5814732.99,2025-03-14,Pending,buy,completed,Relative Value,MS,2025-03-10,Trader027,T0041,2025-03-14,,Electronic,
,Unallocated,Options Trading,cme,,2217.55,Unconfirmed,Jefferies,JP,CP0073,Broker,2024-11-07T17:24:31,GBP,,,DEAL00000015,,Prop Trading,,NYSE,EXT25479145,50.52,,INST005138,SHEL FX Spot,FX Spot,False,US6487443171,2024-11-08T17:24:31,,3730520.51,,,P00000015,OptionsTrading-2,2519.4185,Nomura,FX Spot,1480,3732788.58,2024-11-10,Pending,buy,pending,Directional,SHEL,2024-11-07,Trader050,T0050,2024-11-10,,Voice,
,Pending,Commodities,cme,,656.07,Confirmed,Credit Suisse,CH,CP0051,Broker,2025-02-14T17:24:31,EUR,876163715,,DEAL00000016,,Electronic,,NYSE,EXT48914535,145.55,,INST004436,AMZN CDS,CDS,False,US3862038441,2025-02-15T16:24:31,,4034204.43,,,P00000016,Commodities-2,4514.9516,,CDS,893,4035006.05,2025-02-19,Pending,buy,cancelled,Mean Reversion,AMZN,2025-02-14,Trader037,T0001,2025-02-19,,Voice,
